Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
200500000001,5,1,12,1900,3,2,1,1,3,011,CD41B,M,5051500,0294400,590
200500000002,5,1,21,1600,1,2,1,1,1,051,rue de Lille,M,5053700,0280200,590
200500000003,5,1,21,1845,3,1,1,2,1,051,,M,5054600,0280000,590
200500000004,5,1,4,1615,1,1,1,1,5,082,,M,5098700,0240800,590
200500000005,5,1,10,1945,3,1,1,3,6,478,,M,5096400,0247500,590
200500000006,5,1,28,1415,1,1,1,8,6,082,,M,5099500,0239700,590
200500000007,5,1,3,1530,1,1,1,1,3,130,,M,0000000,0000000,590
200500000008,5,1,18,2115,5,2,1,2,6,404,le hameau du lac,M,5105200,0253300,590
200500000009,5,1,25,1715,1,1,2,8,3,309,,M,5097300,0257100,590
200500000010,5,1,29,2015,3,1,1,2,6,260,,M,5106500,0252400,590
200500000011,5,1,23,230,3,1,1,1,3,401,,M,0000000,0000000,590
200500000012,5,1,11,615,5,2,1,1,6,212,Rue de Lille,M,5064700,0273300,590
200500000013,5,1,1,800,1,1,1,1,6,282,,M,5081700,0248300,590
200500000014,5,1,30,1930,5,2,1,2,6,202,,M,5067800,0283400,590
200500000015,5,1,28,1930,5,2,1,1,6,044,rue de Willems,M,5061500,0325200,590
200500000016,5,1,19,2030,3,1,1,1,3,144,,M,5048800,0348700,590
200500000017,5,1,9,2000,5,2,1,2,3,036,41 Rue d'Esquilbet,M,5015000,0387000,590
200500000018,5,1,3,730,3,1,1,9,1,531,,M,0000000,0000000,590
200500000019,5,1,9,1630,1,2,1,1,1,139,RUE H.BARBUSSE,M,5012300,0340500,590
200500000020,5,1,30,2030,5,2,1,2,6,139,rue de Paris,M,5012300,0341500,590
200500000021,5,1,31,815,1,2,1,1,1,631,RUE Pierre Flinoy,M,5007200,0333800,590
200500000022,5,1,18,1930,3,1,1,1,2,010,,M,5016500,0313500,590
200500000023,5,1,12,1800,5,2,1,1,3,449,RUE JEAN LAGACHE,M,0000000,0000000,590
200500000024,5,1,15,1100,1,1,1,1,1,186,,M,5020100,0409600,590
200500000025,5,1,13,900,1,2,1,1,6,421,RUE NEUVE,M,5011700,0308700,620
200500000026,5,1,11,1030,1,2,2,2,6,817,4 route Nationale 39,M,0000000,0000000,620
200500000027,5,1,26,1130,1,1,1,1,1,568,,M,0000000,0000000,620
200500000028,5,1,2,45,3,1,9,2,1,298,,M,5023800,0317400,620
200500000029,5,1,6,1900,3,1,1,1,1,384,,M,0000000,0000000,620
200500000030,5,1,13,1945,5,2,1,1,3,331,rue de la chapelle,M,5030000,0284000,620
200500000031,5,1,8,1600,1,2,1,8,4,865,RUE DU 8 MAI 1945,M,5032900,0298100,620
200500000032,5,1,18,900,1,2,0,3,3,770,,,,,620
200500000033,5,1,21,2200,3,2,1,1,7,252,rue de la neuve voie,M,5058500,0271500,620
200500000034,5,1,19,1045,1,1,1,7,1,022,,M,0000000,0000000,620
200500000035,5,1,18,715,5,2,1,1,2,487,Rue Jean Monnet,M,5084000,0177400,620
200500000036,5,1,20,1045,1,2,1,1,3,548,649 rue du 28 septembre,M,0000000,0000000,620
200500000037,5,1,29,15,3,1,1,1,1,043,,M,5090700,0195400,620
200500000038,5,1,28,730,5,2,1,6,1,793,16 RUE DES FOURS 62530 S,M,5041500,0263300,620
200500000039,5,1,3,2145,3,1,6,2,7,870,,M,0000000,0000000,620
200500000040,5,1,16,1515,1,2,1,1,6,549,avenue des Tilluels,M,5037800,0203100,620
200500000041,5,1,15,900,1,1,1,1,7,752,,M,5047900,0164900,620
200500000042,5,1,20,500,3,1,1,2,6,742,,M,5046200,0165100,620
200500000043,5,1,21,700,3,1,2,1,1,423,,,,,620
200500000044,5,1,15,2345,4,2,2,1,3,288,CAUCHIES D ECQUES,M,0000000,0000000,620
200500000045,5,1,15,2015,5,2,1,1,3,014,CD187-CD194,M,0000000,0000000,620
200500000046,5,1,2,1115,1,2,1,7,6,038,RUE DE SELNESSE,M,5085900,0197700,620
200500000047,5,1,2,1630,1,2,1,1,6,078,RUE A VACHES,M,5086400,0194300,620
200500000048,5,1,12,815,2,2,1,1,6,662,Rue de la Mairie,M,0000000,0000000,620
