Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200500000071,3,00337,0,,2,02,15,530,0,0,1,000,062,2,0,1,00
200500000072,2,00002,2,N,3,02,0,0,0,1,1,000,073,1,0,1,00
200500000073,3,00035,0,,2,00,1,0,0,1,1,000,066,1,0,1,00
200500000074,3,00937,0,,2,02,0,0,0,0,1,000,090,1,6,1,00
200500000075,3,00937,0,,2,00,27,638,0,1,3,000,055,1,5,1,00
200500000076,3,00092,0,,0,00,0,0,0,1,3,000,000,1,0,1,00
200500000077,2,00044,0,,2,02,49,600,0,1,1,000,070,2,0,3,00
200500000078,3,00056,0,,2,02,15,100,0,2,1,000,000,1,0,1,03
200500000079,3,00056,0,,2,00,0,0,2,0,1,000,084,2,0,1,00
200500000080,3,00032,0,,2,02,23,500,0,1,3,010,061,2,0,4,00
200500000081,3,00925,0,,2,02,0,0,0,2,4,000,000,1,0,3,00
200500000082,3,00522,0,,2,00,0,350,0,1,1,000,047,1,0,0,00
200500000083,3,00018,0,,2,02,38,750,0,1,1,000,060,2,0,1,00
200500000084,3,00004,0,,2,00,23,10,0,1,1,000,064,2,0,1,00
200500000085,2,00029,0,,2,02,1,0,0,1,1,000,090,7,0,3,00
200500000086,3,00930,0,,2,02,12,800,0,1,1,000,000,7,0,1,00
200500000087,3,00008,0,,2,02,36,351,0,1,1,000,000,2,0,1,00
200500000088,3,00713,0,,2,02,4,300,0,1,1,000,048,1,0,1,00
200500000089,2,00029,0,,2,02,0,0,0,2,1,000,071,1,0,1,00
200500000090,3,00001,0,,2,02,62,800,0,0,2,000,072,1,0,1,00
200500000091,3,01180,0,,2,02,1,530,0,1,1,000,059,1,5,1,00
200500000092,3,00481,0,,0,02,1,500,0,2,0,000,050,2,0,3,00
200500000093,3,00081,0,,2,00,0,0,0,1,2,000,052,1,0,1,00
200500000094,2,00002,2,,2,02,98,400,0,3,1,142,000,7,0,3,00
200500000095,4,00000,0,,2,02,0,0,0,1,0,000,035,7,0,1,00
200500000096,3,00005,0,,2,00,29,0,0,1,1,000,070,1,0,4,00
200500000097,2,00029,0,,2,02,0,0,0,1,1,021,068,1,0,1,00
200500000098,3,00028,0,,2,02,47,500,0,1,3,000,000,1,0,1,00
200500000099,2,00043,0,,2,02,24,450,0,1,1,000,072,1,0,1,00
200500000100,2,00043,0,,2,02,20,900,0,1,1,000,072,1,0,1,00
200500000101,3,00901,0,,2,02,7,30,0,1,1,000,072,1,0,1,00
200500000102,3,00526,0,,2,02,98,100,0,0,2,000,056,1,0,3,00
200500000103,3,00125,0,,2,02,0,0,0,1,3,000,097,1,0,3,00
200500000104,3,00166,0,,2,02,13,500,0,2,1,000,045,2,0,1,00
200500000105,3,00981,0,,2,00,0,0,0,4,3,000,070,2,5,1,00
200500000106,3,00583,0,,2,00,0,0,0,1,0,000,000,1,0,3,99
200500000107,3,00927,0,,2,02,0,0,0,1,1,000,065,1,0,1,00
