Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
200600000001,6,1,4,1545,1,2,2,1,3,053,"SANS N°, PONT DES CHEVRE",,,,010
200600000002,6,1,6,805,2,2,2,4,3,053,BROU ( BD DU N° 47 A 65,,,,010
200600000003,6,1,9,1340,1,2,1,1,6,053,"sans, CLAVAGRY ( RUE)",,,,010
200600000004,6,1,10,1625,2,2,1,8,3,053,23EME R.I. ( RUE DU),,,,010
200600000005,6,1,24,1120,1,1,1,1,2,053,MARBOZ (AVENUEDE - IMPAI,,,,010
200600000006,6,1,1,200,3,1,1,3,7,014,C.D. 85,,,,010
200600000007,6,1,10,1035,1,2,9,1,6,283,"15, GAGARINE",,,,010
200600000008,6,1,12,825,1,2,2,1,3,031,PRES ( RUE DES ),,,,010
200600000009,6,1,13,1325,1,2,1,1,6,283,", ILOT ROMANS PETIT",,,,010
200600000010,6,1,5,530,3,1,1,9,3,168,RN 3,,,,020
200600000011,6,1,1,630,3,1,1,2,1,408,RN2,,,,020
200600000012,6,1,11,1940,5,2,1,1,6,691,"99, POMPIDOU DE 1 A 111",,,,020
200600000013,6,1,11,1640,2,2,1,2,6,691,LECLERC (RUE DU GL),,,,020
200600000014,6,1,14,1835,5,2,1,1,6,691,"132, GAMBETTA DE 31/40 A",,,,020
200600000015,6,1,17,1425,1,2,2,2,1,691,SCHUMAN (AV. ROBERT),,,,020
200600000016,6,1,17,950,1,2,2,1,3,722,", CONGREGATION ( RUE DE",,,,020
200600000017,6,1,16,1600,1,2,2,1,6,722,DEPORTES ET FUSILLES ( R,,,,020
200600000018,6,1,8,1650,1,2,1,1,4,258,RN 38,,,,020
200600000019,6,1,17,1435,1,2,2,2,6,258,"76, GAMBETTA (BOULEVARD)",,,,020
200600000020,6,1,8,1115,1,2,1,1,6,185,"157, KENNEDY ( AVENUE JO",,,,030
200600000021,6,1,19,1915,5,2,2,1,6,185,PRESIDENT AURIOL (AVENUE,,,,030
200600000022,6,1,21,1335,1,2,1,1,6,101,MARTYRS ( AVENUE DES ),,,,030
200600000023,6,1,23,1410,1,2,3,7,1,185,BROSSOLETTE ( RUE PIERRE,,,,030
200600000024,6,1,27,2100,5,2,1,8,6,185,"89, GUESDE ( AVENUE JULE",,,,030
200600000025,6,1,11,1340,1,2,3,1,5,321,"68, RD 779",,,,030
200600000026,6,1,16,740,1,2,2,1,3,013,"16, BARON (RUE JEAN)",,,,030
200600000027,6,1,19,1655,1,2,2,1,6,190,"7, HUGO (AVENUE VICTOR)",,,,030
200600000028,6,1,24,908,1,2,3,1,7,321,"84, CLADETS (RUE DES)",,,,030
200600000029,6,1,2,1455,1,2,2,2,2,310,"18, PETILLAT (RUE)",,,,030
200600000030,6,1,2,1940,5,2,1,8,6,001,"104, GRAVIERS (AVENUE DE",,,,030
200600000031,6,1,5,1030,1,2,1,1,6,310,"49, CELESTINS (AVENUE DE",,,,030
200600000032,6,1,7,1340,1,2,1,8,6,094,"0, INDUSTRIE (RUE DE L')",,,,030
200600000033,6,1,7,1700,1,2,3,8,3,095,ARLOING (COURS ANNET),,,,030
200600000034,6,1,7,1100,1,2,4,1,4,310,"0, ETATS-UNIS (BOULEVARD",,,,030
200600000035,6,1,14,1540,1,2,1,7,6,095,RAYNAL (RUE DU GENERAL),,,,030
200600000036,6,1,16,1210,1,2,3,1,2,095,ALSACE LORRAINE (BOULEVA,,,,030
200600000037,6,1,19,749,1,2,1,1,6,095,"2, DE GAULLE (BOULEVARD",,,,030
200600000038,6,1,24,730,1,2,1,1,6,310,"14, BRIAND (AVENUE ARIST",,,,030
200600000039,6,1,26,1620,1,2,3,4,3,095,ROUX (AVENUE GILBERT),,,,030
200600000040,6,1,26,1700,1,1,1,4,6,095,RD 906B,,,,030
200600000041,6,1,13,1440,1,2,2,1,6,070,THIERS (BD),,,,040
200600000042,6,1,27,2035,3,1,1,2,2,070,RN 85,,,,040
200600000043,6,1,14,2040,5,2,1,1,1,112,"3, LUBERON (AV. DU)",,,,040
200600000044,6,1,18,1425,1,2,1,1,4,112,D907,,,,040
200600000045,6,1,20,1205,1,2,2,1,3,112,SOPHORAS (RUE DES),,,,040
200600000046,6,1,22,1930,3,2,1,1,5,112,D907,,,,040
200600000047,6,1,25,1850,5,2,2,1,6,112,MISTRAL (AVENUE F.),,,,040
200600000048,6,1,5,1400,1,2,1,8,6,061,FREDERIC MISTRAL ( COURS,,,,050
200600000049,6,1,14,2045,5,2,1,1,3,061,"74, JEAN JAURES ( AVENUE",,,,050
200600000050,6,1,20,2036,4,2,1,1,3,061,PROVENCE ( AVENUE DE ),,,,050
200600000051,6,1,23,1630,1,2,1,1,6,061,"4, LADOUCETTE ( COURS )",,,,050
200600000052,6,1,31,2025,5,2,1,1,6,061,"1, LADOUCETTE ( COURS )",,,,050
200600000053,6,1,4,730,1,2,1,1,2,004,"40, WILSON BD",,,,060
200600000054,6,1,3,1000,1,2,3,1,4,004,GREC AV.JULES,,,,060
200600000055,6,1,5,1930,2,2,1,9,3,004,"36, WILSON BD",,,,060
200600000056,6,1,9,1310,1,2,9,1,3,004,FERRIE AV.DU GENERAL,,,,060
200600000057,6,1,14,1105,1,2,9,1,6,004,"1248, CLAUDE CH.DE ST",,,,060
200600000058,6,1,15,1345,1,2,2,1,3,004,COURBET AV.AMIRAL,,,,060
200600000059,6,1,16,1415,1,1,1,1,2,004,BACON BD DU ET BD GARDIO,,,,060
200600000060,6,1,21,1900,5,2,1,1,7,004,"106, CAP BD DU",,,,060
200600000061,6,1,23,1920,5,2,2,1,3,004,WILSON BD,,,,060
200600000062,6,1,24,1340,1,2,1,1,3,004,NATIONALE RN 98,,,,060
200600000063,6,1,25,1700,1,2,3,1,6,004,BOURGEOIS AV.GASTON,,,,060
200600000064,6,1,3,830,1,2,1,1,3,027,"2, LECLERCAVENUE GENERAL",,,,060
200600000065,6,1,6,1620,1,2,1,1,3,027,"72, TUILIERES AVENUE DES",,,,060
200600000066,6,1,7,1925,5,2,1,1,6,027,"84, ALPES AVENUE DES",,,,060
200600000067,6,1,9,2055,5,2,1,1,3,123,"737, SAUVAIGO PIERRE AVE",,,,060
200600000068,6,1,10,930,1,2,1,1,2,123,BORD DE MER RN 98,,,,060
200600000069,6,1,10,1400,1,2,1,1,6,027,"22, DONAT AVENUE DOCTEUR",,,,060
200600000070,6,1,10,1245,1,2,1,1,3,027,"8, CHENES AVENUE DES",,,,060
200600000071,6,1,11,1745,5,2,1,1,2,123,MAICON PROMENADE,,,,060
200600000072,6,1,12,1400,1,2,9,1,3,027,"36, TUILIERES AVENUE DES",,,,060
