Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
200600000001,0,07,000,11,2,6,01,B01
200600000001,0,13,000,00,2,1,15,A01
200600000002,0,07,000,00,2,3,15,A01
200600000002,0,07,000,00,2,3,01,B01
200600000003,0,10,000,00,1,4,04,A01
200600000004,0,07,000,00,2,1,01,A01
200600000004,0,01,000,00,2,6,19,B01
200600000005,0,07,000,00,2,3,10,A01
200600000005,0,07,000,00,2,3,01,B01
200600000006,0,07,000,13,0,1,00,A01
200600000007,0,07,000,00,1,2,01,A01
200600000008,0,07,000,00,2,2,15,A01
200600000008,0,07,000,00,2,1,01,B01
200600000009,0,07,000,00,1,3,00,A01
200600000010,0,15,000,00,2,3,10,A01
200600000010,0,07,000,00,2,3,01,B01
200600000011,0,07,000,00,2,3,01,A01
200600000011,0,07,000,00,2,3,01,B01
200600000012,0,07,000,00,1,2,01,A01
200600000013,0,07,000,00,1,3,01,A01
200600000014,0,07,000,08,0,8,14,A01
200600000015,0,07,000,00,9,2,15,A01
200600000015,0,02,000,00,2,1,01,B01
200600000016,0,07,000,00,2,2,19,A01
200600000016,0,07,000,00,2,3,01,B01
200600000017,0,07,000,00,9,1,01,A01
200600000018,0,07,000,00,2,3,13,A01
200600000018,0,07,000,00,2,1,09,B01
200600000018,0,07,000,00,2,1,21,C01
200600000019,0,07,000,00,1,2,21,A01
200600000020,0,02,000,08,0,7,14,A01
200600000021,0,07,000,00,0,3,01,B01
200600000021,0,02,000,00,2,1,01,A01
200600000022,0,07,000,00,1,2,01,A01
200600000023,0,01,000,00,2,1,01,B01
200600000023,0,07,000,00,2,3,15,A01
200600000024,0,07,000,00,2,2,15,A01
200600000024,0,02,000,00,2,1,01,B01
200600000025,0,07,000,00,2,1,15,A01
200600000025,0,07,000,00,0,3,21,B01
200600000025,0,07,000,00,2,3,21,C01
200600000026,0,05,000,00,0,8,19,B01
200600000026,0,07,000,00,2,2,19,A01
200600000027,0,05,000,00,0,1,14,A01
200600000027,0,07,000,00,0,3,23,B01
200600000028,0,07,000,00,0,0,15,A01
200600000028,0,01,000,00,0,0,21,B01
200600000029,0,07,000,00,2,1,01,B01
200600000029,0,07,000,00,2,3,19,A01
200600000030,0,07,000,00,1,2,01,A01
200600000031,0,07,000,00,1,2,01,A01
200600000032,0,07,000,03,0,2,14,A01
200600000033,0,07,000,00,2,6,15,A01
200600000033,0,02,000,00,2,1,17,B01
200600000034,0,07,000,14,0,1,02,A01
200600000034,0,07,000,14,0,4,23,B01
200600000034,0,07,000,14,0,4,23,C01
200600000034,0,07,000,00,2,3,09,D01
200600000035,0,07,000,00,1,1,01,A01
200600000036,0,07,000,00,2,1,02,A01
200600000036,0,07,000,00,0,5,15,B01
200600000037,1,02,000,00,1,1,01,A01
200600000038,0,07,000,01,0,2,01,A01
200600000039,0,07,000,00,2,1,15,A01
200600000039,0,07,000,00,2,3,23,B01
200600000040,0,07,000,06,0,1,13,A01
200600000041,0,07,000,00,1,1,01,A01
200600000042,0,07,000,00,2,1,02,A01
200600000042,0,07,000,00,0,4,02,B01
200600000043,0,02,000,00,2,1,01,B01
200600000043,0,07,000,00,2,1,15,A01
200600000044,0,07,000,00,2,1,02,A01
200600000044,0,07,000,00,2,4,02,B01
200600000044,0,07,000,00,2,4,02,C01
200600000045,0,07,000,00,2,3,01,A01
200600000045,0,04,000,00,2,1,01,B01
200600000046,0,07,000,00,2,1,05,A01
200600000046,0,07,000,00,2,1,01,B01
200600000046,0,07,000,00,2,2,23,C01
200600000047,0,07,000,00,2,1,01,B01
200600000047,0,07,000,00,2,7,01,A01
200600000047,0,07,000,00,2,3,23,C01
200600000048,0,07,000,00,1,3,01,A01
200600000049,0,07,000,00,2,2,15,A01
200600000049,0,07,000,00,0,2,01,B01
200600000050,0,17,000,00,2,8,10,A01
200600000050,0,10,000,00,2,1,01,B01
200600000051,0,07,000,00,1,8,01,A01
200600000052,0,18,001,00,1,2,01,A01
200600000053,0,07,000,00,0,4,23,B01
200600000053,0,02,000,00,2,1,02,A01
200600000054,0,07,000,00,0,0,16,C01
200600000054,0,07,000,00,0,4,02,B01
200600000054,0,10,000,00,2,1,02,A01
200600000055,0,07,000,00,2,2,15,A01
200600000055,0,04,000,00,2,1,01,B01
200600000056,0,02,000,00,2,0,01,B01
200600000056,0,07,000,00,2,3,15,A01
200600000057,0,05,000,00,2,0,01,A01
200600000057,0,07,000,00,2,8,15,B01
200600000058,0,07,000,00,2,1,01,B01
200600000058,0,07,000,00,2,5,01,A01
200600000059,0,01,000,14,0,1,02,A01
200600000059,0,18,000,00,2,4,24,B01
200600000060,0,05,000,06,0,8,00,A01
200600000061,0,02,000,00,0,0,00,B01
200600000061,1,02,000,00,2,0,00,A01
200600000062,0,07,000,00,2,3,09,A01
200600000062,0,04,000,00,2,7,01,B01
200600000063,0,04,000,00,2,1,01,A01
200600000063,0,07,000,00,2,1,01,B01
200600000064,0,05,000,00,2,2,01,A01
200600000064,0,07,000,00,2,1,02,B01
200600000065,0,02,000,00,2,1,02,A01
200600000065,0,07,000,00,9,3,11,B01
200600000066,0,02,000,00,1,1,00,A01
200600000067,0,07,000,00,2,2,15,A01
200600000067,0,07,000,00,2,2,01,B01
200600000068,0,07,000,00,9,3,13,A01
200600000068,0,01,000,00,2,4,01,B01
200600000069,0,07,000,00,1,4,04,A01
200600000070,0,07,000,00,2,5,15,A01
200600000070,0,05,000,00,2,1,01,B01
200600000071,0,07,000,00,2,1,02,A01
200600000071,0,07,000,00,0,4,02,B01
200600000072,0,07,000,00,2,1,15,A01
200600000072,0,07,000,00,2,2,01,B01
200600000073,0,07,000,00,0,4,02,C01
200600000073,0,07,000,00,2,4,02,B01
200600000073,0,07,000,00,2,1,02,A01
200600000074,0,07,000,00,2,3,15,A01
200600000074,0,02,000,00,2,1,01,B01
200600000075,1,07,000,00,1,0,00,A01
200600000076,0,07,000,00,1,1,01,A01
200600000077,0,02,000,00,1,1,01,A01
200600000078,0,07,000,00,1,1,01,A01
200600000079,0,07,000,00,2,1,02,A01
200600000079,0,07,000,00,2,4,02,B01
200600000080,0,07,000,00,2,1,02,A01
200600000080,0,07,000,00,2,4,02,B01
200600000081,0,07,000,06,0,1,01,A01
200600000082,0,07,000,00,2,1,09,A01
200600000082,0,05,000,00,4,3,01,B01
200600000083,0,07,000,00,2,8,09,A01
200600000083,0,04,000,00,2,2,01,B01
200600000084,0,07,000,00,1,1,02,A01
200600000085,0,07,000,13,0,2,14,A01
200600000086,0,05,000,00,2,1,01,A01
200600000086,0,07,000,00,2,4,20,B01
200600000087,0,02,000,00,1,1,01,A01
200600000088,0,07,000,00,2,3,16,A01
200600000088,0,02,000,00,2,7,01,B01
200600000089,1,02,000,00,1,1,16,A01
200600000090,0,05,000,00,2,1,01,A01
200600000090,0,07,000,00,0,4,01,B01
200600000091,0,07,000,00,2,1,01,A01
200600000091,0,07,000,00,2,4,02,B01
200600000091,1,07,000,00,2,1,02,C01
200600000092,0,05,000,00,1,1,01,A01
200600000092,0,07,000,00,2,1,01,B01
200600000093,0,05,000,00,2,1,01,A01
200600000093,0,07,000,00,2,7,01,B01
200600000094,0,02,000,00,2,1,16,A01
200600000095,0,04,000,03,0,1,01,A01
200600000096,0,02,000,00,2,1,01,A01
200600000096,0,07,000,00,2,5,01,B01
200600000097,0,05,000,00,2,1,01,B01
200600000097,0,07,000,00,2,2,16,A01
200600000098,0,07,000,09,0,2,01,A01
200600000099,0,07,000,00,1,1,01,A01
200600000100,0,07,000,12,1,1,01,A01
200600000101,0,07,000,00,2,1,01,A01
200600000101,0,07,000,00,2,4,02,B01
200600000102,0,99,000,00,1,4,04,A01
200600000103,0,07,000,00,2,1,15,A01
200600000103,0,04,000,00,2,1,01,B01
200600000104,0,07,000,00,2,8,09,A01
200600000104,0,05,000,00,2,2,01,B01
200600000105,0,07,000,00,2,1,10,A01
200600000105,0,07,000,00,2,1,01,B01
200600000106,0,07,000,00,2,8,10,A01
200600000106,0,02,000,00,2,1,17,B01
200600000107,0,07,000,00,1,4,04,A01
200600000108,0,07,000,00,2,1,15,A01
200600000108,0,02,000,00,2,1,01,B01
200600000109,0,07,000,00,1,1,01,A01
200600000110,0,02,000,00,2,1,01,B01
200600000110,0,07,000,00,2,2,15,A01
200600000111,0,05,000,00,2,1,01,A01
200600000111,0,07,000,00,2,7,01,B01
200600000112,0,07,000,00,1,1,01,A01
200600000113,0,07,000,00,1,1,01,A01
200600000114,1,99,000,00,0,2,15,B01
200600000114,0,02,000,00,2,2,15,A01
200600000115,0,07,000,00,1,1,01,A01
200600000116,0,07,000,00,1,8,15,A01
200600000117,0,07,000,00,2,3,10,A01
200600000117,0,04,000,00,2,1,01,B01
200600000118,0,07,000,00,2,1,02,A01
200600000118,0,07,000,00,2,4,01,B01
200600000119,0,07,000,00,2,2,15,A01
200600000119,0,05,000,00,2,1,01,B01
200600000120,0,07,000,00,1,2,09,A01
200600000121,0,07,000,00,2,8,13,B01
200600000121,0,05,000,00,2,7,17,A01
200600000122,0,02,000,00,2,3,01,B01
200600000122,0,07,000,00,2,2,15,A01
200600000123,0,07,000,00,2,1,01,A01
200600000123,0,07,000,00,0,4,02,B01
200600000124,0,07,000,00,2,3,01,A01
200600000124,0,02,000,00,2,1,01,B01
200600000125,0,07,000,00,2,3,15,A01
200600000125,0,07,000,00,2,2,01,B01
200600000126,0,07,000,00,0,6,09,A01
200600000126,0,02,000,00,2,1,01,B01
200600000127,0,07,000,00,0,7,15,A01
200600000127,0,05,000,00,2,1,01,B01
200600000128,0,07,000,00,9,0,15,A01
200600000128,0,02,000,00,0,0,15,B01
200600000129,0,02,000,00,2,1,15,A01
200600000129,0,05,000,00,2,7,01,B01
200600000130,0,02,000,00,1,1,01,A01
200600000131,0,07,000,12,0,1,01,A01
200600000132,0,07,000,00,1,1,01,A01
200600000133,0,04,000,00,2,1,01,A01
200600000133,0,07,000,00,2,6,15,B01
200600000134,0,07,000,01,0,3,01,A01
200600000135,0,07,000,08,2,1,01,A01
200600000135,0,07,000,00,2,5,23,B01
200600000136,2,07,000,00,2,1,01,A01
200600000136,0,07,000,00,2,8,15,B01
200600000137,0,07,000,00,1,3,09,A01
200600000137,0,02,000,00,2,1,17,B01
200600000138,0,07,000,00,1,1,02,A01
200600000139,0,07,000,00,2,2,01,B01
200600000139,0,07,000,00,2,1,01,A01
200600000140,0,10,000,00,2,2,02,A01
200600000140,0,07,000,00,2,1,02,B01
200600000141,0,07,000,14,0,1,01,A01
200600000141,0,07,000,14,2,4,02,B01
200600000141,0,07,000,00,2,4,02,C01
200600000142,0,10,000,00,2,0,15,A01
200600000142,0,02,000,00,2,1,01,B01
200600000143,0,07,000,00,1,6,04,A01
200600000144,0,07,000,00,2,3,15,A01
200600000144,0,02,000,00,2,1,02,B01
200600000145,0,07,000,00,1,1,15,A01
200600000146,0,07,000,00,1,6,15,A01
200600000146,0,02,000,00,2,1,17,B01
200600000147,0,07,000,01,2,6,04,A01
200600000147,0,07,000,00,2,3,01,B01
200600000148,0,15,000,00,9,3,15,A01
200600000148,0,05,000,00,9,4,02,B01
200600000149,0,07,000,00,2,3,11,A01
200600000149,0,05,000,00,2,1,01,B01
200600000150,0,10,000,00,1,1,01,A01
200600000151,0,10,000,00,2,6,00,A01
200600000151,0,05,000,00,2,7,01,B01
200600000152,0,07,000,00,2,3,13,A01
200600000152,0,05,000,00,2,7,01,B01
200600000153,0,07,000,00,1,2,02,A01
200600000154,0,07,000,00,1,2,02,A01
200600000155,0,07,000,00,2,3,15,A01
200600000155,0,07,000,00,2,3,01,B01
200600000156,0,07,000,00,1,7,01,A01
200600000157,0,07,000,14,0,1,01,A01
200600000157,0,07,000,14,2,4,02,B01
200600000157,0,07,000,00,2,4,02,C01
200600000158,0,05,000,00,9,3,02,A01
200600000158,0,02,000,00,9,6,23,B01
200600000159,0,07,000,00,2,1,01,A01
200600000159,0,07,000,00,0,4,09,B01
200600000160,0,02,000,00,0,1,01,A01
200600000161,0,02,000,00,1,2,01,A01
200600000162,0,07,000,00,2,6,01,A01
200600000162,0,05,000,14,0,1,01,B01
200600000163,0,07,000,00,0,0,12,A01
200600000163,0,05,000,00,0,0,01,B01
200600000164,0,07,000,00,9,3,09,A01
200600000164,0,02,000,00,2,1,02,B01
200600000165,0,07,000,00,2,3,01,A01
200600000165,0,05,000,00,2,1,01,B01
200600000166,0,05,000,00,2,2,16,A01
200600000166,0,02,000,00,2,2,16,B01
200600000167,0,07,000,00,9,0,09,A01
200600000167,0,02,000,00,2,1,02,B01
200600000168,0,07,000,00,2,2,14,A01
200600000168,0,02,000,00,2,3,01,B01
200600000169,0,07,000,00,2,2,12,A01
200600000169,0,04,000,00,2,1,07,B01
200600000170,0,07,000,00,2,1,01,A01
200600000170,0,07,000,00,1,1,02,B01
200600000171,0,99,000,00,2,7,01,A01
200600000171,0,02,000,00,2,1,01,B01
200600000172,0,07,000,00,1,2,01,A01
200600000173,0,07,000,00,2,7,15,A01
200600000173,0,05,000,01,2,0,16,B01
200600000174,0,05,000,00,1,1,02,A01
200600000175,0,02,000,00,2,1,01,A01
200600000175,0,10,000,00,2,3,01,B01
200600000176,0,10,000,14,0,1,14,A01
200600000176,0,07,000,14,0,4,23,B01
200600000176,0,07,000,00,0,4,23,C01
200600000177,0,07,000,14,0,1,01,A01
200600000177,0,07,000,00,2,4,02,B01
200600000178,0,07,000,00,1,4,04,A01
200600000179,0,07,000,00,2,1,05,A01
200600000179,0,05,000,00,2,1,01,B01
200600000180,0,07,000,00,2,2,01,A01
200600000180,0,05,000,00,2,8,01,B01
200600000181,0,07,000,00,2,8,01,C01
200600000181,0,07,000,00,2,8,01,D01
200600000181,0,07,000,00,2,2,02,A01
200600000181,0,07,000,00,2,8,01,B01
200600000182,0,05,000,00,9,0,00,A01
200600000182,0,02,000,00,9,0,00,B01
200600000183,0,02,000,00,1,1,01,A01
200600000184,0,07,000,00,2,1,01,A01
200600000184,0,10,000,00,2,4,01,B01
200600000185,0,02,000,00,2,1,01,A01
200600000185,0,07,000,00,2,5,16,B01
200600000186,0,07,000,00,1,4,04,A01
200600000187,0,02,000,00,9,2,15,A01
200600000187,0,02,000,00,9,1,02,B01
200600000188,0,07,000,00,9,3,09,A01
200600000188,0,02,000,00,2,0,00,B01
200600000189,0,07,000,00,2,3,01,A01
200600000189,0,07,000,00,2,2,01,B01
200600000190,0,07,000,00,2,6,15,A01
200600000190,0,05,000,00,2,7,17,B01
200600000191,0,07,000,00,2,1,01,A01
200600000191,0,07,000,00,2,4,00,B01
200600000192,0,02,000,00,2,1,02,A01
200600000192,0,07,000,00,2,6,02,B01
200600000193,0,07,000,01,2,9,00,A01
200600000193,0,07,000,00,2,4,23,B01
200600000194,0,07,000,00,2,0,15,A01
200600000194,0,05,000,00,2,4,17,B01
200600000194,0,05,000,00,2,1,17,C01
200600000195,0,07,000,00,2,3,15,A01
200600000195,0,05,000,01,2,1,01,B01
200600000196,0,07,000,00,1,3,01,A01
200600000197,0,07,000,00,9,2,09,A01
200600000197,0,02,000,00,2,3,02,B01
200600000198,0,07,000,00,2,3,02,A01
200600000198,0,07,000,08,2,5,23,B01
200600000198,0,07,000,00,2,4,24,C01
200600000199,0,07,000,00,2,3,15,A01
200600000199,0,05,000,00,2,1,01,B01
200600000200,0,07,000,00,2,3,15,A01
200600000200,0,05,000,00,2,7,01,B01
200600000201,0,02,000,01,2,9,03,A01
200600000201,0,07,000,00,2,2,01,B01
200600000202,0,07,000,15,0,2,14,A01
200600000203,0,07,000,00,2,3,15,A01
200600000203,0,18,001,00,2,2,07,B01
200600000204,0,05,000,00,2,1,01,A01
200600000204,0,07,000,00,2,6,01,B01
200600000204,0,07,000,00,2,3,01,C01
200600000204,0,07,000,00,2,3,01,D01
200600000204,0,07,000,00,2,4,00,E01
200600000205,0,07,000,00,2,1,17,A01
200600000205,0,07,000,00,2,6,15,B01
200600000206,0,07,000,00,2,1,01,A01
200600000206,0,07,000,00,2,8,01,B01
200600000207,0,07,000,00,2,3,15,A01
200600000207,0,05,000,00,2,1,01,B01
200600000208,0,05,000,00,0,0,02,A01
200600000208,0,07,000,00,0,0,23,B01
200600000209,0,05,000,00,2,2,13,A01
200600000209,0,07,000,00,0,2,23,B01
200600000210,0,07,000,00,2,1,02,A01
200600000210,1,07,000,00,2,0,00,B01
200600000211,0,07,000,00,2,1,01,A01
200600000211,0,07,000,01,2,3,01,B01
200600000212,0,07,000,00,2,3,05,A01
200600000212,0,07,000,00,2,3,01,B01
200600000213,0,07,000,00,2,4,02,A01
200600000213,0,07,000,14,0,4,02,B01
200600000213,0,07,000,00,0,4,02,C01
200600000214,0,05,000,00,2,2,09,A01
200600000214,0,05,000,00,2,7,01,B01
200600000215,0,07,000,00,2,2,01,A01
200600000215,0,05,000,00,2,1,01,B01
200600000216,0,02,000,00,2,5,15,A01
200600000216,0,02,000,00,2,8,01,B01
200600000217,0,02,000,00,2,1,01,A01
200600000217,0,02,000,00,2,1,01,B01
200600000218,0,07,000,00,1,3,01,A01
200600000219,0,05,000,00,1,1,01,A01
200600000220,0,07,000,00,2,2,01,A01
200600000220,0,07,000,00,2,1,01,B01
200600000221,0,07,000,13,2,0,00,A01
200600000221,0,07,000,00,2,5,02,B01
200600000222,0,07,000,00,1,3,02,A01
200600000223,0,07,000,00,0,0,15,B01
200600000223,0,05,000,00,0,0,02,A01
200600000224,0,07,000,00,2,2,09,A01
200600000224,0,07,000,00,0,4,02,B01
200600000225,0,07,000,00,2,1,12,A01
200600000225,0,05,000,00,2,4,23,B01
200600000226,0,07,000,00,2,3,09,A01
200600000226,0,05,000,00,2,1,01,B01
200600000227,0,02,000,14,0,1,01,A01
200600000227,0,07,000,00,2,6,23,B01
200600000227,0,07,000,00,0,0,13,W01
200600000228,0,07,000,14,0,1,01,A01
200600000228,0,07,000,14,2,4,02,B01
200600000228,0,07,000,00,2,4,02,C01
200600000229,0,07,000,00,9,8,11,A01
200600000229,0,02,000,00,2,0,00,B01
200600000230,0,07,000,00,2,1,02,A01
200600000230,0,05,000,00,2,4,23,B01
200600000230,0,07,000,00,2,4,23,C01
200600000230,0,07,000,00,2,4,23,D01
200600000231,0,07,000,00,2,1,01,A01
200600000231,0,02,000,00,2,4,01,B01
200600000231,0,07,000,00,2,4,01,C01
200600000232,0,05,000,01,0,1,01,A01
200600000233,0,07,000,01,2,2,01,A01
200600000233,0,07,000,00,2,6,01,B01
200600000234,0,07,000,00,2,1,05,A01
200600000234,0,05,000,00,2,1,01,B01
200600000235,0,07,000,00,1,1,01,A01
200600000236,0,07,000,01,0,2,00,A01
200600000237,0,07,000,00,2,1,09,A01
200600000237,0,07,000,00,2,8,02,B01
200600000238,0,07,000,00,2,3,15,A01
200600000238,0,07,000,08,2,1,01,B01
200600000239,0,07,000,00,2,3,09,A01
200600000239,0,05,000,00,2,1,01,B01
200600000240,0,02,000,00,2,1,17,A01
200600000240,0,07,000,00,0,3,15,B01
200600000241,0,07,000,00,1,1,15,A01
200600000242,0,10,000,00,0,0,14,A01
200600000242,0,05,000,00,0,0,02,B01
200600000242,0,07,000,00,0,0,15,C01
200600000243,0,05,000,00,2,6,02,A01
200600000243,0,10,000,00,9,1,24,B01
200600000243,1,07,000,00,0,0,00,C01
200600000244,0,07,000,00,2,8,10,A01
200600000244,0,05,000,00,2,1,01,B01
200600000245,0,07,000,03,0,9,01,A01
200600000245,0,07,000,00,2,4,02,B01
200600000245,0,07,000,00,2,1,02,C01
200600000246,0,07,000,00,2,3,09,A01
200600000246,0,05,000,00,2,1,01,B01
200600000247,0,07,000,14,0,1,01,A01
200600000247,0,07,000,14,2,4,02,B01
200600000247,0,07,000,00,2,4,02,C01
200600000248,0,07,000,00,2,2,01,A01
200600000248,0,05,000,00,2,1,01,B01
200600000249,0,07,000,00,2,8,01,A01
200600000249,0,05,000,00,2,1,01,B01
200600000250,0,07,000,00,2,1,01,A01
200600000250,0,05,000,00,2,4,02,B01
200600000251,0,07,000,00,1,1,01,A01
200600000252,0,02,000,00,1,1,01,A01
200600000253,0,07,000,00,1,2,02,A01
200600000254,0,07,000,00,9,2,16,A01
200600000254,0,02,000,00,2,6,02,B01
200600000255,0,02,000,11,0,1,21,A01
200600000255,0,07,000,00,2,0,20,B01
200600000256,0,07,000,00,2,2,10,A01
200600000256,0,02,000,00,2,3,01,B01
200600000257,0,07,000,00,2,1,01,B01
200600000257,0,02,000,00,2,7,01,A01
200600000258,0,02,000,00,1,1,01,A01
200600000259,0,07,000,00,2,1,09,A01
200600000259,0,05,000,00,2,3,02,B01
200600000260,0,07,000,00,2,2,15,A01
200600000260,0,02,000,00,2,8,01,B01
200600000261,0,07,000,00,2,1,02,A01
200600000261,0,07,000,00,2,4,02,B01
200600000261,0,07,000,00,2,0,09,C01
200600000262,0,02,000,00,2,4,01,A01
200600000262,0,07,000,00,2,2,01,B01
200600000263,0,05,000,00,2,1,01,A01
200600000263,0,07,000,00,2,5,23,B01
200600000263,0,07,000,00,2,8,23,C01
200600000264,0,07,000,00,2,1,13,A01
200600000264,0,07,000,00,2,3,02,B01
200600000265,0,10,000,00,1,3,15,A01
200600000266,0,07,000,00,2,6,01,A01
200600000266,0,02,000,00,2,1,01,B01
200600000267,0,07,000,14,0,1,01,A01
200600000267,0,07,000,00,2,5,02,B01
200600000268,0,07,000,00,2,6,01,A01
200600000268,0,07,000,00,2,8,01,B01
200600000269,0,07,000,00,2,1,01,A01
200600000269,0,10,000,00,2,4,01,B01
200600000269,0,07,000,00,2,4,01,C01
200600000269,0,07,000,00,2,4,01,D01
200600000270,1,07,000,00,1,1,01,A01
200600000271,0,10,000,00,2,2,01,A01
200600000271,0,05,000,00,2,1,01,B01
200600000272,0,07,000,00,2,1,02,A01
200600000272,0,07,000,00,2,4,01,B01
200600000273,0,05,000,00,2,8,00,A01
200600000273,0,07,000,00,2,1,01,B01
200600000274,0,07,000,00,1,0,00,A01
200600000275,0,02,000,00,2,1,09,A01
200600000275,0,07,000,00,2,3,01,B01
200600000276,0,07,000,00,2,2,13,A01
200600000276,0,02,000,00,2,1,01,B01
200600000277,0,10,000,00,2,1,13,A01
200600000277,0,07,000,00,2,1,01,B01
200600000278,0,07,000,00,2,1,15,A01
200600000278,0,07,000,00,2,1,01,B01
200600000279,0,10,000,01,0,2,02,A01
200600000279,0,07,000,00,2,4,02,B01
200600000280,0,01,000,00,2,1,01,B01
200600000280,0,07,000,00,2,2,19,A01
200600000281,0,07,000,00,1,7,12,A01
200600000282,0,05,000,00,2,8,01,A01
200600000282,0,07,000,00,2,1,01,B01
200600000283,0,07,000,10,0,9,01,A01
200600000284,0,07,000,00,2,1,01,A01
200600000284,0,07,000,00,2,6,01,B01
200600000284,0,07,000,00,0,8,01,C01
200600000285,0,07,000,00,2,5,04,A01
200600000285,0,02,000,00,0,7,01,B01
200600000286,0,07,000,00,2,2,01,A01
200600000286,0,01,000,00,0,1,01,B01
200600000287,0,07,000,00,1,4,04,A01
200600000288,0,18,010,00,1,1,13,A01
200600000288,0,07,000,00,0,1,23,B01
200600000289,0,01,000,00,0,0,09,A01
200600000289,0,02,000,00,2,1,17,B01
200600000290,0,07,000,00,2,1,17,A01
200600000290,0,07,000,00,0,1,01,B01
200600000291,0,02,000,00,1,0,01,A01
200600000292,0,14,000,06,0,1,01,A01
200600000293,0,07,000,00,2,3,01,B01
200600000294,0,02,000,01,0,7,01,A01
200600000295,0,07,000,00,2,3,01,B01
200600000295,0,05,000,00,2,8,01,A01
200600000296,0,07,000,00,1,1,01,A01
200600000297,0,07,000,00,0,9,01,A01
200600000298,0,07,000,00,9,3,01,A01
