Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
200800000001,8,1,22,1015,1,2,1,1,6,424,RUE SAINT JULIEN,M,4515400,-082600,330
200800000002,8,1,10,815,1,1,1,1,7,348,,M,0000000,0000000,330
200800000003,8,1,16,800,2,2,1,1,3,350,RD 231 Rue de l'hôpital,M,4478200,-012500,330
200800000004,8,1,20,1100,1,1,1,1,2,394,,M,4491400,-019900,330
200800000005,8,1,25,645,5,2,1,1,3,394,La Moleone,M,4490000,-015500,330
200800000006,8,1,3,1000,1,1,1,8,3,014,,M,0000000,0000000,330
200800000007,8,1,5,15,3,2,3,2,3,261,Le Brandat,M,4495300,-009000,330
200800000008,8,1,26,1615,1,1,1,1,7,026,,M,0000000,0000000,240
200800000009,8,1,14,1600,1,2,1,3,7,372,carf CD3 et CD43,M,0000000,0000000,240
200800000010,8,1,21,1030,1,1,1,1,6,527,,M,4528100,0092300,240
200800000011,8,1,27,1800,2,1,1,1,7,188,,M,4515500,0101000,240
200800000012,8,1,28,1415,1,1,1,1,7,147,,M,4526900,0094200,240
200800000013,8,1,30,700,3,1,3,1,3,147,,M,4523100,0095200,240
200800000014,8,1,8,2030,3,1,1,1,1,276,,M,0000000,0000000,240
200800000015,8,1,4,1115,1,1,1,8,1,189,,M,0000000,0000000,240
200800000016,8,1,10,1645,3,1,1,2,2,226,,M,0000000,0000000,240
200800000017,8,1,10,1830,5,1,1,1,1,568,,M,4485500,0011200,240
200800000018,8,1,25,1215,1,1,1,1,5,226,,M,4485800,0001500,240
200800000019,8,1,13,45,3,1,1,1,3,214,,M,0000000,0000000,240
200800000020,8,1,5,2215,3,1,1,3,1,133,,M,4553300,0096700,240
200800000021,8,1,13,1900,3,1,1,1,5,551,,M,4546400,0094400,240
200800000022,8,1,15,530,3,1,1,8,6,304,,M,4541100,0094300,240
200800000023,8,1,22,845,1,1,1,2,4,496,,M,4541900,0087700,240
200800000024,8,1,13,1200,1,1,2,1,3,038,,M,4530800,0036200,240
200800000025,8,1,28,845,1,2,1,1,6,352,RUE JEAN MOULIN,M,4524900,0034300,240
200800000026,8,1,31,515,4,1,1,1,6,294,,M,4501400,0017800,240
200800000027,8,1,29,1615,1,1,1,8,5,577,,M,0000000,0000000,240
200800000028,8,1,15,730,2,1,1,2,1,230,,M,0000000,0000000,240
200800000029,8,1,28,300,3,2,1,1,6,035,vaurez,M,4478600,0101300,240
200800000030,8,1,4,1045,1,1,1,2,1,254,,M,0000000,0000000,240
200800000031,8,1,3,915,1,1,1,8,7,229,,M,4514000,0120000,240
200800000032,8,1,30,1245,1,2,1,1,3,229,rue Georges Haupinot,M,4513200,0122500,240
200800000033,8,1,12,515,5,1,1,8,6,250,,M,4394900,-040600,400
200800000034,8,1,19,1830,5,2,1,1,3,288,524 route du graba 40120,M,0000000,0000000,400
200800000035,8,1,25,830,2,1,1,1,6,115,,M,0000000,0000000,400
200800000036,8,1,14,1600,2,2,1,1,7,179,Avenue Emile DESPAX,M,4370700,-111100,400
200800000037,8,1,23,530,3,1,1,5,3,123,,M,4383800,-110300,400
200800000038,8,1,25,1745,1,1,1,1,7,260,,M,0000000,0000000,400
200800000039,8,1,21,845,1,1,1,1,7,304,,M,0000000,0000000,400
200800000040,8,1,15,2230,5,2,1,3,6,209,RN10,M,4356400,-145100,400
200800000041,8,1,14,1800,5,2,1,1,3,046,Av du Maréchal LYAUTEY,M,0000000,0000000,400
200800000042,8,1,19,945,1,1,1,1,6,257,,M,0000000,0000000,400
200800000043,8,1,19,1845,5,2,1,1,3,217,Avenue BREMONTIER,M,0000000,0000000,400
200800000044,8,1,2,1415,1,1,1,1,1,175,,M,4383500,-035400,400
200800000045,8,1,17,1715,2,2,1,3,6,080,Face rue Marche Cazérien,M,0000000,0000000,400
200800000046,8,1,14,630,5,1,1,1,6,267,,M,0000000,0000000,400
200800000047,8,1,22,615,3,1,1,2,6,161,,M,4413300,0001300,400
200800000048,8,1,23,1215,1,1,1,1,1,209,,M,4423000,0068900,470
200800000049,8,1,4,1300,1,1,1,1,6,326,,M,4454000,0024400,470
200800000050,8,1,5,1900,5,2,1,2,6,157,,M,4450700,0017000,470
200800000051,8,1,5,2315,3,1,1,3,6,326,,M,4452000,0021200,470
200800000052,8,1,7,1715,1,2,1,1,2,157,CD 813 - avenue ruffe,M,4449900,0017400,470
200800000053,8,1,11,1745,2,2,1,2,1,157,RUE ALBERT CAMUS,M,4450500,0016400,470
200800000054,8,1,9,1915,5,2,1,1,6,168,avenue Gramont,M,4460300,0036000,470
200800000055,8,1,15,1700,2,1,1,8,1,187,,M,4463500,0026400,470
200800000056,8,1,19,930,1,1,1,1,6,165,,M,0000000,0000000,470
200800000057,8,1,25,1815,2,1,2,1,3,013,,M,0000000,0000000,470
200800000058,8,1,18,1400,1,1,1,2,6,065,,M,4437600,0042800,470
200800000059,8,1,29,1230,1,2,1,1,3,159,D143,M,0000000,0000000,470
200800000060,8,1,28,1015,1,1,1,5,6,146,,M,0000000,0000000,470
200800000061,8,1,26,1015,1,2,1,7,6,057,,M,4465600,0059300,470
200800000062,8,1,2,930,1,1,1,1,6,160,,M,0000000,0000000,470
200800000063,8,1,17,1315,1,1,6,2,3,252,,M,4439300,0058000,470
200800000064,8,1,29,1715,1,1,1,1,3,306,,M,4440000,0049500,470
200800000065,8,1,25,1945,2,1,1,5,1,089,,M,4337700,-016900,640
200800000066,8,1,25,1930,3,2,1,1,5,059,ROUTE D ASSAT,M,4327700,-025700,640
200800000067,8,1,11,1415,1,2,1,8,5,138,49 avenue Joseph Szydlow,M,4324000,-028000,640
200800000068,8,1,8,1400,1,1,1,1,6,160,,M,4339000,-138800,640
200800000069,8,1,11,1930,3,1,1,2,1,391,,M,4328600,-080300,640
200800000070,8,1,11,730,3,1,9,6,6,155,,M,0000000,0000000,640
200800000071,8,1,28,1130,1,1,1,1,7,124,,M,0000000,0000000,640
200800000072,8,1,5,1045,1,2,1,1,6,430,rue jeanne d'albret,M,4349300,-077200,640
200800000073,8,1,23,1700,1,1,1,7,6,499,,M,,,640
200800000074,8,1,6,945,1,1,1,8,6,100,,M,0000000,0000000,860
200800000075,8,1,15,1230,1,1,1,6,3,102,,M,0000000,0000000,860
200800000076,8,1,21,1515,1,1,1,1,6,002,,M,4675700,0017100,860
200800000077,8,1,4,800,2,1,1,2,7,178,,M,4647600,0044500,860
200800000078,8,1,6,1615,1,1,1,8,3,097,,M,0000000,0000000,860
200800000079,8,1,7,1715,1,1,1,1,3,263,,M,4653500,0035400,860
200800000080,8,1,12,845,1,1,1,1,1,221,,M,0000000,0000000,860
200800000081,8,1,25,2100,3,2,1,1,1,096,LE JACQUELIN,M,0000000,0000000,860
200800000082,8,1,1,1845,3,1,1,8,6,137,,M,4699700,0009200,860
200800000083,8,1,13,230,4,2,1,1,6,137,51 avenue d'anjou,M,4701600,0008200,860
200800000084,8,1,16,1130,1,1,1,8,3,075,,M,0000000,0000000,860
200800000085,8,1,6,545,3,1,1,8,6,120,,M,4629000,0085200,860
200800000086,8,1,15,845,1,2,1,3,4,078,Avenue Roger Bonnet,M,0000000,0000000,860
200800000087,8,1,24,1430,1,1,1,1,7,138,,M,4618200,0078300,860
200800000088,8,1,26,230,3,1,1,1,6,289,,M,4619600,0063800,860
200800000089,8,1,22,1945,3,1,1,1,1,073,,M,0000000,0000000,160
200800000090,8,1,18,2015,5,2,1,1,6,217,Avenue de la vie,M,0000000,0000000,160
200800000091,8,1,4,830,1,1,1,1,7,276,,M,0000000,0000000,160
200800000092,8,1,21,800,2,2,6,1,3,028,,M,0000000,0000000,160
200800000093,8,1,24,1530,1,1,1,1,7,242,,M,0000000,0000000,160
200800000094,8,1,16,1045,1,1,2,2,3,107,,M,0000000,0000000,160
200800000095,8,1,9,945,2,2,6,2,3,094,avenue de strasbourg,M,0000000,0000000,170
200800000096,8,1,13,1345,2,1,1,5,6,108,,M,0000000,0000000,170
200800000097,8,1,18,1700,1,1,1,2,5,362,,M,4539300,-058300,170
200800000098,8,1,20,1530,1,2,1,1,3,210,rue de Bordeaux,M,0000000,0000000,170
200800000099,8,1,17,1500,1,1,1,3,1,279,,M,0000000,0000000,170
200800000100,8,1,25,630,3,1,1,1,6,241,,M,4519300,-015500,170
200800000101,8,1,5,830,2,2,1,1,1,093,Aenue d'antioche,M,0000000,0000000,170
200800000102,8,1,23,1900,3,1,1,5,7,093,,M,0000000,0000000,170
200800000103,8,1,1,1545,1,1,1,7,1,346,,M,0000000,0000000,170
200800000104,8,1,2,1215,1,1,1,1,1,353,,M,0000000,0000000,170
200800000105,8,1,1,145,3,1,1,5,1,166,,M,4610400,-088100,170
200800000106,8,1,2,2300,5,2,1,1,6,434,devant 12 rue Gambetta,M,0000000,0000000,170
200800000107,8,1,16,1515,3,1,1,1,6,447,,M,0000000,0000000,170
200800000108,8,1,18,900,1,1,2,2,3,080,,M,4610900,-081700,170
200800000109,8,1,26,230,3,1,1,9,5,003,,M,4610800,-094400,170
200800000110,8,1,28,1945,3,1,1,1,3,080,,M,0000000,0000000,170
200800000111,8,1,28,815,2,1,2,5,5,152,,M,0000000,0000000,170
200800000112,8,1,10,1345,1,1,1,1,1,347,,M,0000000,0000000,170
200800000113,8,1,15,1030,1,2,1,2,1,397,Chemin de la Longée,M,4546200,-012300,170
200800000114,8,1,20,1715,1,1,1,1,1,070,,M,0000000,0000000,170
200800000115,8,1,14,845,1,1,1,1,1,104,,M,4649300,-043200,790
200800000116,8,1,25,2130,3,1,1,9,7,281,,M,4638700,-048700,790
200800000117,8,1,6,1615,1,1,1,2,6,003,,M,4629400,-044700,790
200800000118,8,1,28,745,1,2,1,1,3,049,Les sicaudières,M,0000000,0000000,790
200800000119,8,1,14,1330,1,2,2,8,3,062,Avenue de la gare,M,4682200,-066600,790
200800000120,8,1,17,1900,3,1,1,1,1,079,,M,4693500,-075400,790
200800000121,8,1,26,1500,1,2,6,1,3,195,CHEMIN DU LINEAU,M,0000000,0000000,790
200800000122,8,1,29,645,3,1,1,5,3,210,,M,4689800,-065600,790
200800000123,8,1,6,1430,1,2,1,3,6,250,rue de l'Océan,M,0000000,0000000,790
200800000124,8,1,9,1500,1,1,1,1,7,061,,M,0000000,0000000,790
200800000125,8,1,9,1800,5,2,1,1,3,202,avenue Aristide Briand,M,0000000,0000000,790
200800000126,8,1,19,145,3,1,1,8,6,092,,M,4650900,-017900,790
200800000127,8,1,3,1000,1,1,1,1,1,107,,M,4592800,0116700,870
200800000128,8,1,20,1715,1,1,1,1,6,002,,M,0000000,0000000,870
200800000129,8,1,1,2300,3,1,1,9,7,032,,M,0000000,0000000,870
200800000130,8,1,10,1430,1,1,1,1,6,154,,M,0000000,0000000,870
200800000131,8,1,6,1145,1,1,1,2,6,036,,M,4570100,0095300,870
200800000132,8,1,14,1300,1,1,1,1,6,168,,M,4573500,0078100,870
200800000133,8,1,22,730,3,1,1,8,5,038,,M,4523900,0172500,190
200800000134,8,1,3,1615,1,1,1,1,6,010,,M,4509800,0193000,190
200800000135,8,1,18,1715,1,1,1,2,1,042,,M,4529700,0161700,190
200800000136,8,1,25,1345,1,1,2,1,3,044,,M,4497200,0171500,190
200800000137,8,1,31,1945,3,1,1,9,1,105,,M,4513700,0165700,190
200800000138,8,1,20,1445,1,1,1,1,6,278,,M,4518900,0145500,190
200800000139,8,1,21,1800,3,1,1,1,1,278,,M,4518800,0145600,190
200800000140,8,1,1,1400,1,1,1,1,5,230,,M,4546000,0145800,190
200800000141,8,1,30,1145,1,1,1,1,6,233,,M,4559600,0229200,190
200800000142,8,1,24,2015,3,1,1,1,7,252,,M,4541700,0246900,190
200800000143,8,1,14,1415,1,1,1,4,6,136,,M,4558400,0211600,190
200800000144,8,1,22,1445,1,2,1,1,3,169,Ecole,M,4613300,0193700,230
200800000145,8,1,29,2100,3,1,1,2,6,193,,M,4616500,0189400,230
200800000146,8,1,25,1400,1,1,3,1,3,064,,M,4632700,0211400,230
200800000147,8,1,25,1115,1,1,1,1,7,114,,M,0000000,0000000,230
200800000148,8,1,1,415,3,1,1,1,1,177,,M,0000000,0000000,230
200800000149,8,1,14,1900,3,1,1,1,5,044,,M,0000000,0000000,310
200800000150,8,1,3,1700,1,1,1,1,1,118,,M,0000000,0000000,310
200800000151,8,1,2,1045,1,2,1,8,6,356,Rue des écoles,M,0000000,0000000,310
200800000152,8,1,19,1300,1,1,1,1,3,160,,M,0000000,0000000,310
200800000153,8,1,30,730,2,2,6,1,3,232,Giratoire D29 / D29a,M,4377400,0128700,310
200800000154,8,1,15,815,2,2,6,1,3,424,,M,0000000,0000000,310
200800000155,8,1,25,1615,1,2,1,1,3,424,CD24,M,4358500,0129100,310
200800000156,8,1,29,1015,1,1,1,1,1,417,,M,4360900,0128900,310
200800000157,8,1,30,830,1,2,2,1,3,291,,M,4360700,0123400,310
200800000158,8,1,21,830,1,1,1,1,5,490,,M,0000000,0000000,310
200800000159,8,1,7,1145,1,2,3,3,3,488,BD RATALENS/R.DE LA SAUS,M,0000000,0000000,310
200800000160,8,1,26,700,2,1,1,5,1,462,,M,4367200,0151200,310
200800000161,8,1,19,230,3,1,1,8,6,375,,M,4314500,0119500,310
200800000162,8,1,27,745,2,1,1,1,7,436,,M,4335000,0102700,310
200800000163,8,1,31,1845,3,1,1,1,5,187,,M,4352900,0125600,310
200800000164,8,1,18,1600,1,1,1,2,1,502,,M,4318500,0074200,310
200800000165,8,1,28,1730,1,1,2,1,3,323,,M,4308600,0064000,310
