Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201000000001,10,6,12,1930,1,2,1,1,6,052,71 RUE JEAN JAURES,M,0000000,0000000,590
201000000002,10,8,7,1000,1,2,1,1,6,477,Rue Nationale,M,5051600,0292000,590
201000000003,10,9,11,1600,1,1,1,1,5,011,,M,0000000,0000000,590
201000000004,10,9,22,1630,1,2,1,1,6,477,43 rue Nationale,M,5051800,0292500,590
201000000005,10,10,25,1215,1,2,1,1,2,052,RUE GHESQUIERES,M,5050800,0289700,590
201000000006,10,2,1,745,2,1,1,1,4,550,,M,0000000,0000000,590
201000000007,10,2,23,1515,1,2,1,1,1,051,37 RUE D ESTAIRES,M,0000000,0000000,590
201000000008,10,5,21,1900,1,1,1,1,5,320,,M,0000000,0000000,590
201000000009,10,6,28,2300,5,2,1,1,6,051,Route d'Estaires,M,0000000,0000000,590
201000000010,10,7,29,615,2,2,2,1,5,051,Rue de Lille,M,5054200,0281800,590
201000000011,10,9,21,1845,1,2,1,1,3,524,Rue du Général LECLERC,M,5056100,0291000,590
201000000012,10,10,5,1545,1,2,1,1,3,051,Avenue Pasteur,M,0000000,0000000,590
201000000013,10,11,5,2000,5,1,6,2,6,303,,M,0000000,0000000,590
201000000014,10,12,2,945,1,1,1,4,3,025,,M,5059200,0282100,590
201000000015,10,5,6,1430,1,2,1,1,6,586,26 rue de la fourmisiere,M,0000000,0000000,590
201000000016,10,6,15,745,1,1,1,1,3,197,,M,0000000,0000000,590
201000000017,10,7,16,1545,1,2,1,1,1,586,53 rue de peronnes,M,0000000,0000000,590
201000000018,10,7,26,1815,1,1,1,1,3,256,,M,0000000,0000000,590
201000000019,10,7,30,1215,1,2,1,1,6,256,5 Rue Calmette Guérin,M,0000000,0000000,590
201000000020,10,10,13,815,1,1,1,1,3,034,,M,0000000,0000000,590
201000000021,10,10,16,215,5,2,1,2,6,586,Rue Delattre,M,5052900,0317100,590
201000000022,10,10,29,1800,1,1,2,1,4,586,,M,0000000,0000000,590
201000000023,10,3,9,1800,1,1,1,1,6,411,,M,5048200,0311400,590
201000000024,10,5,30,1300,1,1,1,1,6,592,,M,5047300,0306200,590
201000000025,10,9,8,545,3,1,2,3,2,452,,M,5046900,0302900,590
201000000026,10,2,26,730,1,2,1,1,3,159,d17,M,0000000,0000000,590
201000000027,10,4,10,1345,1,1,2,1,3,130,,M,5091100,0222300,590
201000000028,10,6,19,1945,1,1,1,6,3,159,,M,0000000,0000000,590
201000000029,10,10,26,1915,3,1,1,2,5,576,,M,5096500,0232800,590
201000000030,10,11,5,1900,5,1,1,2,4,402,,M,0000000,0000000,590
201000000031,10,11,11,1930,3,1,1,6,7,130,RD,M,5091400,0221700,590
201000000032,10,4,8,2230,3,1,1,1,7,337,,M,5082500,0227400,590
201000000033,10,5,4,1900,1,2,1,1,1,663,Route de Bergues,M,5089500,0246400,590
