Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201200000001,12,3,16,1930,5,2,1,1,6,011,33 Rue Roger Salengro,M,5052928,0293643,590
201200000002,12,9,1,2145,5,2,1,1,3,011,route de DON,M,5053380,0292738,590
201200000003,12,11,20,1815,5,2,1,1,5,670,rue Anatole France,M,5054757,0292033,590
201200000004,12,1,7,1915,5,2,1,1,3,051,Rue d'ESTAIRES,M,5053315,0280229,590
201200000005,12,1,17,2000,5,2,1,1,1,524,Rue du Général Leclerc,M,5055855,0290642,590
201200000006,12,1,22,1800,5,2,1,1,6,051,34 rue de la Marne,M,5053665,0280409,590
201200000007,12,4,14,1645,1,2,1,1,6,051,13 RUE DE LENS,M,5053029,0280229,590
201200000008,12,7,13,1600,1,2,1,1,6,524,533 Rue Gambetta,M,5056311,0289884,590
201200000009,12,8,10,1700,1,1,1,1,2,550,Rte Nationale,M,5053251,0283444,590
201200000010,12,9,14,445,5,1,1,1,6,388,Rue du Faulx,M,5056270,0286586,590
201200000011,12,9,20,645,2,1,1,1,3,388,Rte départementale,M,5056031,0287723,590
201200000012,12,9,20,1330,1,2,1,1,3,051,rue de lille,M,5053631,0281528,590
201200000013,12,10,31,1900,5,2,1,1,6,051,Place du G de Gaulle,M,5053128,0280400,590
201200000014,12,11,9,2015,5,2,1,1,1,524,142 Rue Marcel SEMBAT,M,5055774,0290360,590
201200000015,12,12,29,1630,1,1,1,1,6,250,Rte Nationale,M,5057993,0287710,590
201200000016,12,2,7,745,1,1,1,1,1,034,,M,5053197,0309026,590
201200000017,12,4,6,1945,2,1,1,1,2,466,Rue d'Avelin,M,5052560,0310788,590
201200000018,12,4,6,1345,1,2,1,1,6,586,99 RUE DE ROUBAIX,M,5053087,0317480,590
201200000019,12,6,16,1615,1,1,1,1,3,129,,M,5049630,0319103,590
201200000020,12,7,20,2345,5,2,1,3,6,256,30 rue Marechal Foch,M,5055735,0313686,590
201200000021,12,10,7,1715,1,1,1,1,6,398,rue d'Attiches,M,5050945,0309325,590
201200000022,12,11,29,2300,3,1,1,8,7,197,Rte de Templeuve,M,5053890,0316157,590
201200000023,12,12,15,445,5,2,1,8,3,034,rue du chemin vert,M,5054131,0308575,590
201200000024,12,12,21,1230,1,1,1,1,1,197,rue du moulin,M,5054291,0311514,590
201200000025,12,2,29,1130,1,1,1,1,1,452,,M,5046470,0303063,590
201200000026,12,5,10,1845,1,1,1,1,6,452,,M,5046471,0303058,590
201200000027,12,8,4,915,1,1,1,1,6,452,Rte départementale,M,5046475,0303050,590
201200000028,12,8,5,1715,1,2,1,1,1,408,Rue du Bouvincourt,M,5045715,0308631,590
201200000029,12,10,5,1815,1,1,1,1,3,452,109 rue Denis Cordonnier,M,5045785,0302463,590
201200000030,12,10,14,1200,1,1,1,1,6,408,586 rue du Haut,M,5044798,0307207,590
201200000031,12,10,19,2355,5,2,1,2,6,452,270 Rue Jean Jaures,M,5045282,0303448,590
201200000032,12,10,24,1930,5,2,1,1,3,592,Rue Pasteur,M,5047488,0305142,590
201200000033,12,11,14,645,5,2,1,5,3,411,49 Rue Saint-Jean,M,5047733,0311821,590
201200000034,12,1,14,1600,2,1,1,1,6,094,ch de la vieille colme,M,5092760,0220281,590
201200000035,12,3,31,15,3,1,1,1,7,159,Rte de Coppenaxfort,M,5096780,0223629,590
201200000036,12,3,28,1400,1,1,1,1,3,532,Rue Saint Georges,M,5097413,0217926,590
201200000037,12,4,23,1500,1,1,1,3,7,094,R Verte St-PierrebroucK,M,5091266,0219608,590
201200000038,12,5,17,415,3,1,1,1,6,664,Rte de Ham,M,5082629,0224306,590
201200000039,12,6,24,2145,1,2,1,1,3,130,rue basilic straete,M,5090647,0222263,590
201200000040,12,6,29,700,1,1,1,1,1,094,,M,5096461,0223072,590
201200000041,12,7,10,745,1,2,7,1,3,094,Place de l'hôtel de vill,M,5094603,0219666,590
201200000042,12,11,6,1445,1,2,1,1,6,094,1 rue Carnot,M,5094657,0219535,590
201200000043,12,1,31,1900,3,2,9,1,6,663,route de Steenvoorde,M,5087740,0247325,590
201200000044,12,2,1,815,1,2,1,1,6,663,rue de ledringhem,M,5088135,0246577,590
201200000045,12,2,7,930,1,2,1,1,6,305,83 rue de WORMHOUT,M,5088633,0252931,590
201200000046,12,2,25,1600,1,2,1,1,3,305,rue de Bambecq,M,5088666,0253487,590
201200000047,12,3,25,1600,1,1,1,1,1,089,Rte de Gravelines,M,5088409,0233387,590
201200000048,12,9,9,1445,1,2,1,1,1,663,Rue de Cassel,M,5084101,0247650,590
201200000049,12,11,18,1915,3,1,1,1,6,628,Rte de la Reine Becque,M,5083610,0229335,590
201200000050,12,1,9,1415,1,1,1,1,6,577,Rte de la Maison  Blanch,M,5076119,0243190,590
201200000051,12,3,18,700,2,1,1,1,1,184,Rte départementale,M,5073106,0244015,590
201200000052,12,7,14,1900,1,1,1,1,6,308,Rue de Staple,M,5075269,0247507,590
201200000053,12,8,9,1830,1,1,1,1,3,120,Rte de Bailleul,M,5075609,0262544,590
201200000054,12,9,7,1930,1,2,1,1,2,120,495 Av du G de Gaulle,M,5076127,0259838,590
201200000055,12,10,26,2200,3,1,1,1,2,366,Rte départementale,M,5073050,0244475,590
201200000056,12,10,31,1700,1,1,5,1,3,590,,M,5065941,0245606,590
201200000057,12,11,12,1115,1,1,1,1,6,416,Lieut dit Le Grd-Hazard,M,5070560,0252537,590
201200000058,12,12,21,530,3,1,9,1,6,578,,M,5068067,0251316,590
201200000059,12,1,8,1515,1,1,1,1,6,401,,M,5073293,0266391,590
201200000060,12,5,26,1530,1,1,1,1,2,535,Rte du Mont Noir,M,5077197,0273969,590
201200000061,12,7,15,530,2,1,1,1,2,401,Rte D' Hazebrouck,M,5073498,0270072,590
201200000062,12,7,18,1615,1,1,1,1,3,086,rue de la Gare,M,5081421,0267024,590
