Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201700051934,17,2,5,2030,3,1,1,1,5,112,A50,,,,830
201700051935,17,2,14,855,1,1,1,1,6,137,A57,,,,830
201700051936,17,3,4,650,5,1,1,1,6,137,A50 TUNNEL TUBE NORD,,,,830
201700051937,17,3,6,1755,1,1,1,1,3,144,A57,,,,830
201700051938,17,3,8,1725,1,1,1,1,4,090,A50,,,,830
201700051939,17,3,14,1700,1,1,1,1,2,137,A50,,,,830
201700051940,17,3,23,815,1,1,1,2,6,027,A50,,,,830
201700051941,17,3,28,1700,1,1,1,1,4,090,A50,,,,830
201700051942,17,3,29,815,1,1,1,1,5,144,A57,M,4313328,0598419,830
201700051943,17,3,30,610,3,1,1,1,6,028,A50**,,,,130
201700051944,17,3,30,1735,1,1,1,1,2,137,A50,,,,830
201700051945,17,4,1,2041,5,1,1,2,2,138,A57,,,,830
201700051946,17,4,4,1750,1,1,1,1,2,090,A50,,,,830
201700051947,17,4,12,1350,1,1,1,1,6,123,A50,M,4314063,0579575,830
201700051948,17,4,23,1515,1,1,1,1,7,144,A57,M,4313349,0598476,830
201700051949,17,4,23,1752,1,1,1,1,5,123,A50,M,4312931,0581683,830
201700051950,17,4,25,1040,1,1,1,1,2,137,A57,,,,830
201700051951,17,4,27,1323,1,1,1,1,2,137,A50,,,,830
201700051952,17,5,16,800,1,1,1,1,5,137,A57,,,,830
201700051953,17,5,17,855,1,1,1,1,4,144,A57,M,4313349,0598476,830
201700051954,17,5,17,1513,1,1,1,1,5,144,A57,M,4313349,0598476,830
201700051955,17,5,19,2345,3,1,1,1,2,027,A50,,,,830
201700051956,17,5,20,25,3,1,1,1,5,137,A50,,,,830
201700051957,17,5,24,1730,1,1,1,1,2,144,A57,M,,,830
201700051958,17,5,30,1713,1,1,1,1,2,144,A57,M,4313349,0598476,830
201700051959,17,6,2,1815,1,1,1,1,7,090,A50,,,,830
201700051960,17,6,2,1830,1,1,1,1,6,129,A50,M,4312389,0584492,830
201700051961,17,6,3,1919,1,1,1,1,2,137,A57,,,,830
201700051962,17,6,8,1640,1,1,1,1,4,144,A57,M,4313349,0598476,830
201700051963,17,6,12,1650,1,1,1,1,6,035,A50,M,4316144,0576743,830
201700051964,17,6,12,1715,1,1,1,1,2,144,A57,M,4313349,0598476,830
201700051965,17,6,15,1355,1,1,1,1,2,126,A50,M,4312424,0587200,830
201700051966,17,6,25,1935,1,1,1,1,2,062,A570,M,4314340,0601420,830
201700051967,17,7,2,2231,3,1,1,1,2,028,A50,,,,130
201700051968,17,7,8,1705,1,1,1,1,2,137,A57,,,,830
201700051969,17,7,9,615,2,1,1,1,7,144,A57,M,4313349,0598476,830
201700051970,17,7,10,730,1,1,1,1,4,144,A57,M,4313349,0598476,830
201700051971,17,7,13,1420,1,1,1,1,5,137,A50,,,,830
201700051972,17,7,13,1820,1,1,1,1,5,137,A57,,,,830
201700051973,17,7,16,1407,1,1,1,1,3,069,A570,M,4312312,0609686,830
201700051974,17,7,23,2345,5,1,1,2,6,069,RN98,M,4312312,0609686,830
201700051975,17,7,26,1240,1,1,1,1,3,137,A50 Sortie Tunnel Tube S,,,,830
201700051976,17,7,26,1805,1,1,1,1,3,144,,M,4313349,0598476,830
201700051977,17,7,27,2105,2,1,1,1,2,069,A570,M,4312312,0609686,830
201700051978,17,8,4,1450,1,1,1,1,2,069,RN98,M,4312312,0609686,830
201700051979,17,8,5,410,3,1,1,1,6,123,A50,M,4312931,0581683,830
201700051980,17,8,7,1415,1,1,1,1,3,062,A570,M,4314340,0601420,830
201700051981,17,8,15,2030,1,1,1,1,2,137,A50,,,,830
201700051982,17,8,17,939,1,1,1,1,3,137,A50,,,,830
201700051983,17,8,18,1420,1,1,1,1,4,055,A50,,,,130
201700051984,17,8,21,1230,1,1,1,1,5,137,A57,,,,830
201700051985,17,8,25,445,5,1,1,1,1,137,A50,,,,830
201700051986,17,8,25,1225,1,1,1,1,4,144,A57,M,4313349,0598476,830
201700051987,17,8,25,1750,1,1,1,1,4,069,A570,M,4312312,0609686,830
201700051988,17,9,13,835,1,1,1,1,6,028,A50,,,,130
201700051989,17,9,19,1715,1,1,1,1,3,144,A57,M,4313349,0598476,830
201700051990,17,9,22,920,1,1,1,1,2,137,A50 TUNNEL TUBE SUD,M,4312132,0595331,830
201700051991,17,9,22,1755,1,1,1,1,2,137,A50 Sortie Tunnel Tube S,,,,830
201700051992,17,9,25,1130,1,1,1,1,2,137,A50,,,,830
201700051993,17,10,1,1530,1,1,1,1,2,137,A50 Acc Tunnel Tube Nord,,,,830
201700051994,17,10,3,1845,1,1,1,1,2,144,A57,M,4313349,0598476,830
201700051995,17,10,8,1910,1,1,1,1,3,035,A50,,,,830
201700051996,17,10,23,1408,1,1,1,1,2,126,A50,M,4312424,0587200,830
201700051997,17,10,24,1733,1,1,1,1,2,062,A57,M,4314340,0601420,830
201700051998,17,10,24,1735,1,1,1,1,2,144,A57,M,4313349,0598476,830
201700051999,17,10,31,1410,1,1,1,1,4,137,A57,,,,830
201700052000,17,11,8,1340,1,1,1,1,2,137,A57,,,,830
201700052001,17,11,13,1130,1,1,1,6,3,137,A57,,,,830
201700052002,17,11,17,1545,1,1,1,1,6,137,A57,,,,830
201700052003,17,11,17,1855,3,1,1,1,4,144,A57,M,4313349,0598476,830
201700052004,17,11,28,1850,3,1,1,1,4,062,A57,M,4314340,0601420,830
201700052005,17,11,29,800,1,1,1,1,6,123,A50,M,4312931,0581683,830
201700052006,17,11,29,1845,3,1,1,1,4,144,A57,M,4313349,0598476,830
201700052007,17,12,1,1240,1,1,1,1,4,137,A57,M,4312132,0595331,830
201700052008,17,12,7,2000,5,1,1,1,2,123,A50,M,4312931,0581683,830
201700052009,17,12,20,1731,2,1,1,2,7,137,A57,M,4312132,0595331,830
201700052010,17,12,23,104,3,1,1,1,5,027,A50,M,4317871,0576961,830
201700052011,17,1,2,1245,1,1,1,1,4,055,A7-Sens Lyon vers Marsei,M,,,130
201700052012,17,1,3,2230,3,1,1,1,2,055,A7-Sens Marseille vers L,M,,,130
201700052013,17,12,30,1645,1,1,1,1,2,005,A50-Sens Marseille vers,M,,,130
201700052014,17,1,3,2330,3,1,1,1,6,088,A55-Sens Marseille vers,M,,,130
201700052015,17,1,4,1430,1,1,1,1,3,055,A7-Sens Lyon vers Marsei,M,,,130
201700052016,17,1,4,1945,3,1,1,1,1,071,A51-Sens Aix en Provence,M,,,130
201700052017,17,1,4,855,1,1,9,1,2,055,A7-Sens Lyon vers*Marsei,,,,130
201700052018,17,12,16,1100,1,1,1,1,3,033,A55-SENS MARTIGUES/MARSE,M,,,130
