Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201100000001,11,1,22,1400,1,2,1,1,3,005,RUE DE L'EGLISE,M,5053589,0295262,590
201100000002,11,6,24,1500,1,1,1,1,3,011,Rue de Carvin,M,5051652,0293898,590
201100000003,11,9,16,645,2,2,1,1,6,052,rue de la gare,M,5051080,0290322,590
201100000004,11,9,22,1515,1,2,1,1,5,011,rue de Touraine,M,5051861,0293043,590
201100000005,11,10,24,1545,1,2,1,1,6,011,90 rue nationale,M,5052506,0293541,590
201100000006,11,11,14,1745,5,2,1,1,2,011,RUE NATIONALE,M,5052684,0293423,590
201100000007,11,4,8,1600,1,1,1,1,3,320,,M,5055959,0283988,590
201100000008,11,4,13,1830,1,1,1,8,3,051,Route de Lille,M,5054176,0281974,590
201100000009,11,4,24,130,5,1,6,1,6,550,,M,5054272,0283791,590
201100000010,11,5,27,1915,1,2,9,1,6,257,RUE NEUVE,M,5060795,0285411,590
201100000011,11,6,13,1900,1,2,1,1,6,257,62 rue du Vert touquet,M,5062633,0286057,590
201100000012,11,10,26,1500,1,2,1,1,3,051,18 Rue Gabriel PERI,M,5053225,0281286,590
201100000013,11,11,11,300,5,2,6,1,6,388,route de sainghin,M,5055377,0287350,590
201100000014,11,11,16,1745,5,1,1,5,1,320,rd point rte nationale,M,5055752,0283702,590
201100000015,11,11,28,815,1,2,6,1,6,051,Ave Pasteur,M,5053838,0280836,590
201100000016,11,11,27,1615,2,1,1,1,2,320,rte nationale,M,5055706,0283591,590
201100000017,11,1,7,1730,5,1,1,2,3,256,Blvd du Petit Quintin,M,5057680,0312425,590
201100000018,11,1,14,2100,5,2,1,1,1,256,Bd du petit quinquin,M,5057687,0312868,590
201100000019,11,1,20,700,2,1,1,9,7,071,rue de la Carcasse,M,5047118,0314093,590
201100000020,11,1,27,1800,5,2,1,1,3,256,8 rue Calmette Guerin,M,5055818,0313667,590
201100000021,11,6,8,1415,1,1,1,1,1,256,,M,5056737,0314345,590
201100000022,11,9,1,1945,2,2,1,1,1,256,Rue Jules Ferry,M,5055448,0312660,590
201100000023,11,9,4,1145,1,1,1,8,3,411,Rte départementale,M,5049542,0312952,590
201100000024,11,10,3,1500,1,1,1,1,4,256,blvd du Petit Quinquin,M,5057710,0312989,590
201100000025,11,11,26,555,2,1,1,1,6,129,Rue du Lobeau,M,5049605,0319054,590
201100000026,11,12,25,1145,1,1,1,8,6,411,Rte départementale,M,5049704,0312921,590
201100000027,11,1,28,1700,2,2,1,1,1,408,54 rue de la gare,M,5045312,0307978,590
201100000028,11,4,1,1815,1,2,1,1,3,452,rue EVRARD - av LECLERCQ,M,5045706,0303264,590
201100000029,11,6,3,1700,1,2,1,1,6,452,113 rue Florent Evrard,M,5045535,0303094,590
201100000030,11,6,23,1800,1,2,1,1,1,452,Rue JB LEBAS,M,5046145,0302783,590
201100000031,11,8,4,1530,1,1,1,1,6,452,,M,5047011,0304563,590
201100000032,11,9,22,1130,1,2,1,1,1,592,6 rue Joseph Béghin,M,5047146,0306461,590
201100000033,11,1,17,800,1,2,1,1,6,576,place de la mairie,M,5096914,0232123,590
201100000034,11,3,23,1845,1,1,1,7,3,094,rte de LOON-PLAGE,M,5095357,0220730,590
201100000035,11,4,23,1115,1,1,1,1,2,159,route de coppenaxfort,M,5096744,0223993,590
201100000036,11,4,24,1630,1,1,1,1,6,159,,M,5096820,0223530,590
201100000037,11,7,8,1615,1,1,1,1,1,094,route de Gravelines,M,5095868,0218583,590
201100000038,11,7,15,2045,1,1,1,1,2,576,Route de Spycker,M,5097336,0231305,590
201100000039,11,11,10,1400,1,1,9,1,3,094,route de Gravelines,M,5096023,0218366,590
201100000040,11,4,16,1630,1,1,1,1,6,663,Rue de Wylder,M,5090372,0249716,590
201100000041,11,5,1,930,1,1,1,1,1,200,route de Gravelines,M,5089105,0232286,590
201100000042,11,5,25,745,1,2,1,1,6,089,32 rue de l'eglise,M,5086567,0232997,590
201100000043,11,5,25,1330,1,1,1,1,3,663,route de Steenvoorde,M,5086117,0249015,590
201100000044,11,8,15,1330,1,2,1,1,3,200,keurs straete,M,5089535,0234680,590
201100000045,11,9,3,300,3,1,1,1,6,305,3262 Rte de Winnezeele,M,5085270,0253340,590
201100000046,11,10,1,1115,1,2,2,1,3,663,iROUTE DE BERGUES,M,5088934,0246415,590
201100000047,11,11,19,645,2,1,1,5,7,666,voie romaine,M,5088564,0240645,590
201100000048,11,11,23,1,3,1,1,2,6,089,Rte de ST Omer,M,5086986,0235277,590
201100000049,11,12,10,1030,1,1,1,7,2,666,voie romaine,M,5088546,0240660,590
201100000050,11,2,6,515,2,1,1,1,1,416,rte departle Le Hazard,M,5070202,0252280,590
201100000051,11,6,26,1800,1,1,1,1,1,497,Rue de Thérouanne,M,5071567,0237381,590
201100000052,11,7,9,2315,3,2,1,1,1,416,10 rue de merville,M,5068040,0257375,590
201100000053,11,7,24,2115,1,1,9,1,6,582,RUE CLYTE STRAETE,M,5071595,0261129,590
201100000054,11,8,11,1845,1,1,1,1,1,184,1285 Rue du Paradis,M,5072385,0240025,590
201100000055,11,10,10,245,3,1,1,3,6,497,Rte de le Nièppe,M,5075013,0240189,590
201100000056,11,11,24,1530,1,1,1,1,3,308,Rte dépt la longue croix,M,5075271,0247412,590
201100000057,11,12,7,1745,3,1,1,1,1,308,Rue de Caestre,M,5075273,0254205,590
201100000058,11,12,13,1700,1,1,1,1,6,416,PL de l'Hotel de ville,M,5069351,0251737,590
201100000059,11,3,20,1045,1,2,1,1,1,086,rue de godewaersvelde,M,5080588,0267842,590
201100000060,11,5,11,1400,1,1,1,1,3,073,Chemin du monts des cats,M,5078713,0267061,590
201100000061,11,7,10,200,3,2,1,1,7,237,Route de Strazeele,M,5074972,0264436,590
201100000062,11,11,21,1930,2,1,1,8,6,401,Rte du Mont des Cats,M,5076292,0266925,590
201100000063,11,12,31,2115,3,1,1,1,4,268,3268 Rue du Grand Chemin,M,5061356,0274800,590
201100000064,11,1,20,645,5,2,1,1,3,212,1 RUE PRISIDENT KENNEDY,M,5064502,0272100,590
201100000065,11,1,21,1545,1,2,1,1,1,268,rue de béthune,M,5063361,0270364,590
201100000066,11,2,4,800,2,1,1,1,6,212,r de Merville,M,5064236,0270013,590
201100000067,11,3,20,1145,1,2,1,1,1,212,Rue du Président KENNEDY,M,5064831,0271046,590
201100000068,11,6,16,1845,1,1,1,1,3,212,Rue du trou Bayard,M,5065320,0274717,590
201100000069,11,7,22,1845,1,2,1,1,6,212,14 rue jacqueminemars,M,5064936,0270411,590
201100000070,11,7,28,715,1,2,1,8,3,212,RD 2945,M,5064322,0272178,590
201100000071,11,10,28,1645,1,1,1,1,3,581,rue pont d'achelles,M,5069990,0279116,590
201100000072,11,11,1,2145,3,1,1,1,7,581,899 Rue du doulieu,M,5069683,0274505,590
201100000073,11,12,3,750,2,2,1,2,5,581,27 rue de la LYS,M,5067267,0278690,590
201100000074,11,1,9,1045,1,1,1,1,7,293,rue de Merville,M,5063989,0256227,590
201100000075,11,5,14,1045,1,2,1,1,3,400,49 RUE DE FER,M,5064675,0262641,590
201100000076,11,5,20,745,1,1,1,1,3,615,1080 rue de la gare,M,5070351,0263746,590
201100000077,11,6,9,1200,1,1,1,1,7,423,Rue de CASSEL,M,5067056,0265913,590
201100000078,11,8,24,2330,3,1,1,1,6,400,rue du Moulin,M,5065755,0265090,590
201100000079,11,1,11,1715,3,1,1,1,6,669,Route de Noordpeene,M,5079529,0242564,590
201100000080,11,2,13,1300,1,1,2,1,3,282,,M,5082334,0248031,590
201100000081,11,3,23,930,1,1,1,7,1,318,,M,5089511,0257759,590
201100000082,11,6,9,1630,1,1,1,1,6,669,Rte Wemaers-Cappel,M,5080154,0243538,590
201100000083,11,6,12,615,1,2,2,1,3,655,carrefour RD338/RD52,M,5080662,0243987,590
201100000084,11,7,13,645,1,1,1,2,1,436,Route de Zuytpeene,M,5080380,0240437,590
201100000085,11,7,31,100,3,1,1,1,7,587,route d'Hazbrouck,M,5078457,0256460,590
201100000086,11,7,29,1900,1,2,3,1,1,262,rue lafere,M,5079690,0264506,590
201100000087,11,8,30,1700,1,2,2,1,3,262,CARREFOUR D/18 ET D/69,M,5079310,0264253,590
201100000088,11,10,4,1715,1,1,1,1,6,135,1812 Rte de WATTEN,M,5080581,0246416,590
201100000089,11,1,12,545,3,1,1,9,6,044,,M,5060764,0326579,590
201100000090,11,1,28,1045,1,2,1,1,6,146,Carrefour CD941,M,5061047,0320895,590
201100000091,11,3,25,1500,1,1,1,1,6,275,rue de St Amand,M,5058836,0322865,590
201100000092,11,5,7,1815,1,2,1,1,6,146,rue de tressin,M,5061931,0320670,590
201100000093,11,10,2,1800,1,2,1,1,6,660,r des Poilus,M,5062867,0324786,590
201100000094,11,12,6,1030,1,2,1,1,6,044,RUE DE TOURNAI,M,5060837,0325287,590
201100000095,11,1,14,845,1,1,1,1,3,106,rue de Louvil,M,5057509,0319256,590
201100000096,11,2,14,1800,1,1,3,1,1,106,,M,5057692,0319379,590
201100000097,11,1,16,1300,1,1,1,1,7,482,,M,5071621,0302242,590
201100000098,11,1,22,1145,1,1,1,1,1,482,route de Linselles,M,5072196,0302526,590
201100000099,11,5,31,1300,1,2,1,1,1,611,Ch de la gde Champreuill,M,5068509,0297949,590
201100000100,11,6,2,1545,1,1,1,1,7,252,Ch d la Gde Champreuille,M,5068749,0297324,590
201100000101,11,10,5,1700,1,1,1,1,7,173,rue d'Ypres,M,5072428,0294698,590
201100000102,11,10,11,2330,5,2,1,1,1,482,rue Belle croix,M,5071171,0299847,590
201100000103,11,10,18,1945,5,1,1,1,7,643,Rte d' ARMENTIERES,M,5074199,0296754,590
201100000104,11,12,4,130,3,1,1,8,7,611,5 Ch de la Gr Champreuil,M,5068498,0297954,590
201100000105,11,4,3,900,1,1,1,1,7,215,,M,5035757,0359599,590
201100000106,11,12,2,1815,5,1,2,1,3,391,,M,5029942,0329266,590
201100000107,11,12,7,1715,5,2,1,1,3,092,130 avenue Kennedy,M,5028747,0331216,590
201100000108,11,12,14,745,2,1,1,3,3,313,,M,5025551,0332094,590
201100000109,11,9,17,1030,1,2,1,1,1,335,616 route de Tournai,M,5046262,0342642,590
201100000110,11,3,5,1500,1,1,1,7,3,218,,M,5005747,0393283,590
201100000111,11,3,25,1515,1,1,1,1,1,534,rue de l'Hermitage,M,5014219,0390724,590
201100000112,11,4,21,515,3,1,1,1,6,050,,M,5014185,0394736,590
201100000113,11,5,23,1900,1,1,1,1,3,134,475 rue st jean,M,5005826,0380244,590
201100000114,11,6,27,1630,1,1,1,1,3,290,Route de Cartignies,M,5010343,0388292,590
201100000115,11,7,8,1045,1,1,2,1,3,534,Chaussée Brunehaut,M,5012274,0389363,590
201100000116,11,8,22,1445,1,1,1,1,7,534,,M,5013186,0391712,590
201100000117,11,10,5,1915,3,1,1,1,1,078,CHEMIN DE LA CHARNOULD,M,5016292,0400171,590
201100000118,11,10,21,1730,1,1,1,1,1,290,Rte de CARTIGNIES,M,5010341,0388281,590
201100000119,11,10,28,1500,1,1,1,1,3,218,Rte Nationale,M,5005748,0393282,590
201100000120,11,11,16,1100,1,2,1,1,6,036,28 Avenue Stroh,M,5012887,0393721,590
201100000121,11,11,15,1655,1,2,1,1,6,035,12 rue Léo LAGRANGE,M,5011842,0394710,590
201100000122,11,6,6,1215,1,2,1,1,6,249,Rue des Rouets,M,5001372,0404420,590
201100000123,11,6,5,1730,1,2,1,1,3,249,rue  Fontaine Alturie,M,4999930,0403790,590
201100000124,11,7,3,2145,1,2,1,1,6,012,13 rue gabriel peri,M,4999032,0409484,590
201100000125,11,8,25,1930,1,2,1,1,7,249,39 rue jean Jaurés,M,5001697,0405036,590
201100000126,11,10,11,1415,1,2,1,1,2,249,17 RUE JULES GUESDE,M,5001882,0405602,590
201100000127,11,12,2,1500,1,2,1,7,6,249,rue xavier clavon,M,5001626,0403927,590
201100000128,11,2,26,2230,3,1,1,2,6,474,2245 Rue d'Errouard,M,5007533,0373195,590
201100000129,11,3,25,1415,1,1,9,7,3,331,route de Guise,M,5010415,0369181,590
201100000130,11,5,5,1915,1,2,1,1,1,464,RUE DE LA CHASSE,M,5018682,0360811,590
201100000131,11,5,30,830,1,1,1,1,3,194,rue Victorien Cantineau,M,5019543,0363946,590
201100000132,11,6,14,1815,1,1,1,1,2,099,Chaussée Brunehaut,M,5016857,0360996,590
201100000133,11,8,2,1800,1,2,1,1,3,246,Chaussée Brunehaut,M,5014073,0357133,590
201100000134,11,8,31,845,1,2,1,1,1,464,rue de neuville,M,5018883,0360314,590
201100000135,11,9,2,2130,3,1,1,1,6,223,60 Le grand Debout,M,5009644,0373460,590
201100000136,11,11,3,1730,5,2,1,2,2,331,31 r d Général de Gaulle,M,5012435,0369009,590
201100000137,11,11,20,1830,3,1,1,1,1,384,Rte d'AVESNES,M,5013403,0378415,590
201100000138,11,12,2,1815,5,2,9,8,6,331,avenue Villars,M,5012262,0369353,590
201100000139,11,5,19,1530,1,2,1,1,3,261,2 Chem du Moulin à Vent,M,5005670,0408329,590
201100000140,11,5,20,2130,2,1,1,1,6,229,"""le buisson barbet""",M,5004548,0399209,590
201100000141,11,6,19,845,1,1,9,2,6,347,Rue de Liessies,M,5012201,0408594,590
201100000142,11,8,16,1545,1,1,1,1,6,562,Rue de la ronflette,M,5012850,0399398,590
201100000143,11,8,18,730,2,2,1,1,6,347,31 Rue roger salengro,M,5011978,0407777,590
201100000144,11,9,28,2000,5,2,1,1,3,525,rue  Léon Lagrange,M,5009461,0401509,590
201100000145,11,11,2,715,2,1,1,1,1,445,Rte départementale,M,5003281,0410171,590
201100000146,11,12,3,1700,3,1,1,1,6,198,Rue de Touvent,M,5013472,0412868,590
201100000147,11,2,11,2000,3,1,1,1,1,322,rte de Rieux,M,5022135,0332957,590
