Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
200700000001,7,1,26,1630,1,2,1,1,3,477,rue leon blum,M,5051700,0291000,590
200700000002,7,1,12,1645,2,2,1,8,1,398,RUE NATIONALE CD 917,M,5050600,0312800,590
200700000003,7,1,28,1715,1,1,1,1,6,466,,M,5057000,0315800,590
200700000004,7,1,15,1346,1,1,1,1,3,082,CD916,M,0000000,0000000,590
200700000005,7,1,18,1715,2,1,1,6,6,111,,M,5083700,0231300,590
200700000006,7,1,20,1540,1,2,1,1,6,189,rue de Caestre  CD 947,M,0000000,0000000,590
200700000007,7,1,27,2030,2,1,1,1,7,135,,M,5080900,0252000,590
200700000008,7,1,15,1230,1,1,1,1,5,088,rue de la chapelle,M,0000000,0000000,590
200700000009,7,1,20,1700,1,2,1,2,6,146,route nationale,M,5061400,0323100,590
200700000010,7,1,1,1915,5,2,1,1,6,092,Rue Crombe,M,0000000,0000000,590
200700000011,7,1,18,900,1,2,9,3,1,036,"Face aux ETS BIGARD, 55,",M,5013700,0392600,590
200700000012,7,1,20,415,5,2,1,2,6,181,Route de Sars,M,5017900,0395500,590
200700000013,7,1,8,900,1,2,1,2,6,384,grande rue CD 959,M,0000000,0000000,590
200700000014,7,1,11,730,3,1,1,2,3,435,,M,5049700,0326400,590
200700000015,7,1,19,1745,3,1,1,1,1,080,,M,0000000,0000000,590
200700000016,7,1,13,615,3,1,1,2,1,481,,M,5024600,0363200,590
200700000017,7,1,16,1330,1,1,1,1,1,058,ieu dit le Violon - RN.2,M,0000000,0000000,590
200700000018,7,1,10,2115,5,1,1,1,6,582,,M,5027800,0287000,620
200700000019,7,1,20,1315,1,1,1,8,3,817,D939,M,5027600,0284800,620
200700000020,7,1,22,2005,1,1,1,1,3,323,CD 42 PR 11,M,0000000,0000000,620
200700000021,7,1,14,1100,1,2,1,1,3,486,Léon FACON et de LILLERS,M,0000000,0000000,620
200700000022,7,1,18,800,3,2,9,6,6,770,rue de BUSNES,M,5062000,0254000,620
200700000023,7,1,27,1015,1,2,1,7,6,908,6 rue Marcel Caudevelle,M,0000000,0000000,620
200700000024,7,1,10,500,3,1,1,6,7,560,,M,0000000,0000000,620
200700000025,7,1,25,1330,1,1,1,4,6,089,,M,0000000,0000000,620
200700000026,7,1,12,1735,5,2,1,2,6,603,"D 113, route de Boulogne",M,0000000,0000000,620
200700000027,7,1,12,1830,5,2,1,2,3,506,rue du bourg,M,0000000,0000000,620
200700000028,7,1,26,1720,2,2,1,2,1,693,CD 341,M,0000000,0000000,620
200700000029,7,1,8,1600,1,2,1,2,6,318,ROUTE DE BOULOGNE,M,5052000,0164600,620
200700000030,7,1,7,1615,1,2,1,1,7,447,avenue francois miterran,M,5037500,0203700,620
200700000031,7,1,14,1815,5,2,2,2,1,038,rue de Verdun,M,0000000,0000000,620
200700000032,7,1,29,800,1,2,1,1,1,038,4 rue lambert,M,5085900,0197700,620
200700000033,7,1,6,1515,1,2,1,2,4,267,RUE PRINCIPALE,M,0000000,0000000,620
200700000034,7,1,27,900,1,2,1,7,1,485,9 rue de Thérouanne,M,5055000,0225000,620
200700000035,7,1,6,1300,1,2,7,1,3,774,Place Arthur Boulnois,M,0000000,0000000,800
200700000036,7,1,8,1515,1,1,1,8,1,350,,M,0000000,0000000,800
200700000037,7,1,12,1900,3,1,1,2,1,412,,M,0000000,0000000,800
