Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
200700000001,0,33,000,00,2,6,01,A01
200700000001,0,07,000,00,2,2,16,B02
200700000002,0,07,000,00,0,8,19,A01
200700000002,0,10,000,00,0,1,01,B02
200700000003,0,07,000,16,0,0,21,A01
200700000004,0,07,000,00,2,8,01,A01
200700000004,0,33,000,00,2,1,13,B02
200700000005,0,38,000,13,0,2,01,A01
200700000006,0,07,000,00,1,1,01,A01
200700000007,0,07,000,08,0,8,12,A01
200700000008,0,07,000,00,2,1,02,A01
200700000008,0,02,000,00,2,4,23,B02
200700000008,0,07,000,00,2,4,23,C03
200700000008,0,07,000,00,2,3,05,D04
200700000009,0,07,000,00,1,1,01,A01
200700000010,0,07,000,00,1,2,01,A01
200700000011,0,07,000,00,0,1,15,A01
200700000011,0,02,000,00,2,1,13,B02
200700000012,0,07,000,06,0,0,01,A01
200700000013,0,07,000,00,1,2,01,A01
200700000014,0,10,000,00,2,1,01,A01
200700000014,0,07,000,00,2,7,01,B02
200700000015,0,07,000,00,1,3,01,A01
200700000015,0,07,000,00,1,1,01,B02
200700000016,0,07,000,00,2,1,13,A01
200700000016,0,07,000,00,2,1,08,B02
200700000017,0,07,000,00,2,3,13,A01
200700000017,0,07,000,00,2,1,01,B02
200700000018,0,07,000,01,0,2,01,A01
200700000019,0,07,000,00,2,7,01,A01
200700000019,0,07,000,00,2,1,01,B02
200700000020,0,07,000,00,2,7,13,A01
200700000020,0,07,000,00,2,1,01,B02
200700000021,0,07,000,00,2,1,19,A01
200700000021,0,30,000,00,2,8,01,B02
200700000022,0,07,000,00,1,2,01,A01
200700000023,0,07,000,00,1,1,01,A01
200700000024,0,07,000,13,0,2,21,A01
200700000025,0,07,000,08,0,2,14,A01
200700000026,0,07,000,00,2,2,02,A01
200700000027,0,02,000,00,2,1,01,A01
200700000027,0,07,000,00,2,2,15,B02
200700000028,0,07,000,00,2,1,13,A01
200700000028,0,07,000,00,2,3,01,B02
200700000029,0,01,000,00,2,1,19,A01
200700000029,0,07,000,00,0,0,01,B02
200700000030,0,02,000,00,1,3,01,A01
200700000031,0,07,000,00,1,3,01,B02
200700000031,0,07,000,00,2,3,23,A01
200700000032,0,02,000,00,2,1,05,A01
200700000032,0,01,000,00,2,1,01,B02
200700000033,0,07,000,00,2,1,01,A01
200700000033,0,07,000,13,0,6,01,B02
200700000033,0,07,000,00,2,1,01,C03
200700000034,0,07,000,01,0,2,01,A01
200700000034,0,21,000,00,0,6,00,B02
200700000035,0,02,000,00,2,1,01,A01
200700000035,0,07,000,00,2,3,01,B02
200700000036,0,07,000,00,2,1,01,A01
200700000036,0,07,000,00,2,1,01,B02
200700000037,0,07,000,00,2,1,01,A01
200700000037,0,07,000,00,2,3,01,B02
200700000038,0,07,000,02,0,1,19,A01
200700000039,0,07,000,00,2,2,23,A01
200700000039,0,10,000,00,2,2,01,B02
200700000040,0,07,000,02,0,2,01,A01
200700000041,0,07,000,01,0,1,01,A01
200700000041,2,07,000,00,0,6,23,B02
200700000042,0,02,000,00,2,8,10,A01
200700000042,0,07,000,00,9,1,21,B02
200700000043,0,07,000,02,0,1,01,A01
200700000044,0,07,000,00,9,1,01,A01
200700000045,0,07,000,00,0,1,01,A01
200700000045,0,07,000,00,0,8,19,B02
200700000046,0,10,000,00,2,1,13,A01
200700000046,0,15,000,00,2,1,01,B02
200700000047,0,07,000,02,0,1,01,A01
200700000048,0,07,000,02,0,2,01,A01
200700000049,0,07,000,00,2,7,19,A01
200700000049,0,07,000,00,2,1,01,B02
200700000050,0,07,000,00,2,8,17,A01
200700000050,0,30,000,00,2,7,17,B02
200700000051,0,07,000,00,2,3,13,A01
200700000051,0,07,000,00,2,3,01,B02
200700000052,0,07,000,00,2,1,13,A01
200700000052,0,07,000,00,0,0,01,B02
200700000053,0,07,000,00,2,3,17,A01
200700000053,0,07,000,00,2,1,01,B02
200700000054,0,33,000,00,2,1,13,A01
200700000054,0,07,000,00,2,3,01,B02
200700000055,0,07,000,00,2,1,13,A01
200700000055,0,07,000,00,2,1,01,B02
200700000056,0,02,000,00,2,1,17,A01
200700000056,0,02,000,00,2,1,17,B02
200700000056,0,10,000,00,2,8,15,C03
200700000057,0,07,000,00,2,1,01,A01
200700000057,0,10,000,00,2,8,01,B02
200700000058,0,31,000,06,0,1,01,A01
200700000059,0,07,000,13,0,1,00,A01
200700000060,0,07,000,00,1,2,01,A01
200700000061,0,07,000,00,2,7,01,A01
200700000061,0,07,000,00,2,3,15,B02
200700000062,0,07,000,00,1,4,20,A01
200700000063,0,07,000,00,2,2,15,A01
200700000063,0,07,000,00,2,3,01,B02
200700000064,0,07,000,00,0,1,00,A01
200700000065,0,07,000,00,2,1,13,A01
200700000065,0,07,000,00,2,1,00,B02
200700000066,0,07,000,00,2,2,17,A01
200700000066,0,02,000,00,2,3,13,B02
200700000067,0,07,000,00,2,7,01,A01
200700000067,0,07,000,00,2,1,01,B02
200700000068,0,33,000,00,2,9,01,A01
200700000068,0,07,000,00,2,1,01,B02
200700000069,0,07,000,00,2,1,13,A01
200700000069,0,07,000,00,2,1,01,B02
200700000070,0,07,000,00,2,1,13,A01
200700000070,0,38,000,00,2,3,01,B02
200700000071,0,07,000,06,0,6,15,A01
200700000072,0,07,000,00,2,3,15,A01
200700000072,0,30,000,00,2,1,01,B02
200700000073,0,07,000,00,2,6,23,A01
200700000073,0,15,000,00,2,2,13,B02
200700000074,0,07,000,00,2,8,15,A01
200700000074,0,10,000,00,2,1,01,B02
200700000075,0,07,000,00,2,5,04,A01
200700000075,0,02,000,00,2,1,01,B02
200700000076,0,07,000,00,0,0,00,A01
200700000076,0,02,000,01,0,1,00,B02
200700000077,0,07,000,00,2,3,13,A01
200700000077,0,07,000,00,2,3,01,B02
200700000078,0,07,000,00,2,1,10,A01
200700000078,0,07,000,00,2,7,01,B02
200700000079,0,07,000,00,1,1,01,A01
200700000080,0,07,000,16,0,9,01,A01
200700000081,0,07,000,00,2,2,15,A01
200700000081,0,02,000,00,2,1,01,B02
200700000082,0,07,000,00,2,1,13,A01
200700000082,0,07,000,00,2,1,01,B02
200700000083,0,30,000,00,2,8,01,A01
200700000084,0,15,000,00,2,3,21,A01
200700000084,0,07,000,00,2,2,13,B02
200700000085,0,10,000,00,2,3,17,A01
200700000085,0,07,000,00,0,6,00,B02
200700000086,0,07,000,00,2,1,19,A01
200700000086,0,07,000,00,2,8,01,B02
200700000087,0,37,000,00,2,4,04,A01
200700000087,0,07,000,01,0,1,01,B02
200700000088,0,07,000,00,0,1,00,A01
200700000089,0,07,000,00,2,7,01,A01
200700000089,0,38,000,00,2,3,01,B02
200700000090,0,07,000,00,2,1,01,A01
200700000090,0,07,000,00,2,7,13,B02
200700000091,0,07,000,00,1,1,01,A01
200700000092,0,07,000,02,0,3,16,A01
200700000093,0,07,000,00,0,1,13,A01
200700000093,0,07,000,00,2,1,01,B02
200700000093,0,07,000,00,2,1,00,C03
200700000094,0,07,000,00,1,3,15,A01
200700000095,0,07,000,00,2,3,01,A01
200700000095,0,02,000,00,2,1,01,B02
200700000096,0,36,000,12,0,1,01,A01
200700000097,0,07,000,00,2,2,01,A01
200700000097,0,07,000,00,2,3,01,B02
200700000098,0,33,000,13,0,1,01,A01
200700000099,0,02,000,00,0,7,01,A01
200700000100,0,07,000,00,0,3,13,A01
200700000101,0,07,000,00,0,1,01,A01
200700000102,0,07,000,06,0,1,01,A01
200700000103,0,07,000,00,2,2,02,A01
200700000103,0,07,000,00,1,6,16,B02
200700000104,0,07,000,00,2,7,13,A01
200700000104,0,02,000,00,2,7,05,B02
200700000105,0,07,000,09,0,6,01,A01
200700000106,0,07,000,06,0,5,01,A01
200700000107,0,07,000,00,2,3,16,B02
200700000107,0,02,000,00,2,1,15,A01
200700000108,0,07,000,00,2,1,01,A01
200700000108,0,07,000,00,0,2,01,B02
200700000109,0,07,000,02,0,1,01,A01
200700000110,0,07,000,00,1,2,15,A01
200700000111,0,07,000,00,2,3,16,C03
200700000111,0,07,000,00,2,2,01,A01
200700000111,0,07,000,00,2,3,01,B02
200700000112,0,07,000,00,2,1,13,A01
200700000112,0,07,000,00,2,1,01,B02
200700000113,0,02,000,00,2,1,01,A01
200700000113,0,07,000,00,2,8,15,B02
200700000114,0,07,000,00,2,1,01,A01
200700000114,0,10,000,00,2,1,01,B02
200700000115,0,07,000,00,2,1,01,A01
200700000115,0,07,000,00,2,1,00,B02
200700000116,0,07,000,00,2,8,00,A01
200700000116,0,31,000,00,2,8,01,B02
200700000117,0,07,000,00,2,4,01,A01
200700000117,0,10,000,00,2,3,01,B02
200700000118,0,02,000,00,2,1,13,A01
200700000118,0,07,000,00,2,1,11,B02
200700000118,0,07,000,00,1,1,01,C03
200700000119,0,07,000,08,0,8,00,A01
200700000120,0,07,000,00,0,3,13,A01
200700000120,0,07,000,00,0,3,01,B02
200700000121,0,07,000,00,2,7,13,A01
200700000121,0,07,000,00,2,3,01,B02
200700000122,0,07,000,00,2,1,01,A01
200700000122,0,07,000,00,2,8,19,B02
200700000123,0,07,000,08,0,9,01,A01
200700000124,0,07,000,00,2,1,01,A01
200700000124,0,07,000,00,2,4,15,B02
200700000124,0,07,000,00,2,3,01,C03
200700000124,0,07,000,00,2,6,01,D04
200700000125,0,17,000,00,2,6,13,A01
200700000125,0,17,000,00,2,3,01,B02
200700000126,0,07,000,00,2,1,01,A01
200700000126,0,07,000,00,2,8,15,B02
200700000127,0,07,000,01,0,2,01,A01
200700000127,0,07,000,00,2,1,24,B02
200700000128,0,07,000,00,2,5,15,A01
200700000128,0,02,000,00,2,1,01,B02
200700000129,0,07,000,00,2,1,01,A01
200700000129,0,07,000,00,0,4,01,B02
200700000130,0,07,000,00,2,3,01,A01
200700000130,0,07,000,00,2,3,13,B02
200700000131,0,07,000,00,0,3,01,A01
200700000132,0,33,000,00,2,1,01,A01
200700000132,0,07,000,00,2,3,15,B02
200700000133,0,02,000,00,2,1,01,A01
200700000133,0,07,000,00,2,2,15,B02
200700000134,0,07,000,02,0,7,01,A01
200700000135,0,07,000,00,1,1,15,A01
200700000136,0,01,000,00,2,1,01,A01
200700000136,0,07,000,00,2,3,15,B02
200700000137,0,07,000,00,1,3,01,A01
200700000138,0,10,000,00,2,1,01,B02
200700000138,0,07,000,00,2,7,19,A01
200700000139,0,07,000,00,2,2,15,A01
200700000139,0,02,000,00,2,1,01,B02
200700000140,0,07,000,00,2,1,17,A01
200700000140,0,07,000,00,2,1,00,B02
200700000141,0,31,000,00,2,2,16,A01
200700000141,0,07,000,00,2,7,01,B02
200700000142,0,07,000,02,0,1,00,A01
200700000143,0,07,000,00,1,2,01,A01
200700000143,0,33,000,00,2,8,01,B02
200700000144,0,07,000,06,0,2,01,A01
200700000145,0,07,000,00,2,2,17,A01
200700000145,0,02,000,00,2,4,13,B02
200700000146,0,07,000,00,2,7,17,A01
200700000146,0,07,000,00,2,1,01,B02
200700000147,0,07,000,00,2,1,01,A01
200700000147,0,07,000,00,2,8,01,B02
200700000148,0,07,000,02,0,1,00,A01
200700000149,0,07,000,00,2,2,16,B02
200700000149,0,07,000,00,2,1,01,A01
200700000150,0,07,000,14,0,3,13,A01
200700000151,0,07,000,13,0,2,14,A01
200700000152,0,33,000,00,0,7,01,A01
200700000153,0,07,000,02,0,2,14,A01
200700000154,0,07,000,00,2,2,13,A01
200700000154,0,07,000,00,2,1,13,B02
200700000155,0,33,000,00,6,1,01,A01
200700000156,0,07,000,02,0,4,01,A01
200700000157,0,30,000,02,0,1,01,A01
200700000158,0,07,000,13,0,1,01,A01
200700000159,0,07,000,00,2,5,19,A01
200700000159,0,07,000,00,2,1,01,B02
200700000160,0,07,000,00,2,6,19,A01
200700000160,0,07,000,00,2,1,01,B02
200700000161,0,07,000,00,2,8,13,A01
200700000161,0,07,000,00,2,8,01,B02
200700000161,0,07,000,00,2,8,01,C03
200700000162,0,02,000,00,2,1,01,A01
200700000162,0,07,000,00,9,2,15,B02
200700000163,0,07,000,00,2,2,19,B02
200700000163,0,33,000,00,2,3,01,A01
200700000164,0,07,000,00,2,1,01,A01
200700000164,0,07,000,00,2,8,19,B02
200700000165,0,07,000,00,1,7,01,A01
200700000166,0,30,000,00,1,1,01,A01
200700000167,0,03,000,00,0,1,00,A01
200700000168,0,07,000,00,2,8,01,A01
200700000168,0,07,000,00,2,2,20,B02
200700000169,0,07,000,00,0,8,01,A01
200700000169,0,07,000,00,2,3,00,B02
200700000169,0,33,000,00,0,0,17,C03
200700000170,0,07,000,13,0,9,01,A01
200700000171,0,07,000,00,2,3,20,A01
200700000171,0,33,000,00,2,1,01,B02
200700000172,0,07,000,00,2,2,01,A01
200700000172,0,07,000,00,2,2,15,B02
200700000173,0,99,000,00,1,1,02,A01
200700000174,0,15,000,03,0,9,01,A01
200700000175,0,33,000,00,2,1,17,A01
200700000175,0,17,000,00,2,0,15,B02
200700000176,0,02,000,00,2,1,15,A01
200700000176,0,07,000,00,2,2,01,B02
200700000177,0,07,000,13,0,1,14,A01
200700000178,0,07,000,13,0,9,01,A01
200700000179,0,10,000,00,2,6,02,A01
200700000179,0,17,000,00,2,2,02,B02
200700000180,0,07,000,02,0,1,01,A01
200700000181,0,07,000,00,0,1,01,A01
200700000181,0,07,000,00,0,3,01,B02
200700000182,0,33,000,06,0,1,01,A01
200700000183,0,07,000,01,0,8,17,A01
200700000183,0,07,000,00,2,4,24,B02
200700000184,0,07,000,13,0,2,01,A01
200700000185,0,07,000,00,2,1,01,B02
200700000185,0,07,000,00,2,8,19,A01
200700000186,0,07,000,00,2,1,01,A01
200700000186,0,07,000,00,0,4,23,B02
200700000187,0,07,000,08,0,1,01,A01
200700000188,0,07,000,00,2,3,13,A01
200700000188,0,14,000,00,2,3,01,B02
200700000189,0,07,000,00,2,2,15,A01
200700000189,0,02,000,00,2,1,01,B02
200700000190,0,07,000,00,1,2,01,A01
200700000191,0,07,000,00,2,3,01,A01
200700000191,0,10,000,00,2,2,19,B02
200700000192,0,07,000,00,2,3,17,A01
200700000193,0,07,000,00,2,8,17,A01
200700000193,0,07,000,00,2,1,01,B02
200700000193,0,07,000,00,2,1,01,C03
200700000194,0,07,000,13,0,9,01,A01
200700000194,0,07,000,13,1,2,01,B02
200700000195,0,07,000,16,0,9,14,A01
200700000196,0,07,000,00,2,3,19,A01
200700000196,0,07,000,00,2,1,01,B02
