Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201800000001,18,1,24,1505,1,1,4,1,1,005,route des Ansereuilles,M,5055737,0294992,590
201800000002,18,2,12,1015,1,2,7,7,7,011,Place du général de Gaul,M,5052936,0293151,590
201800000003,18,3,4,1135,1,2,3,1,7,477,Rue  nationale,M,5051243,0291714,590
201800000004,18,5,5,1735,1,2,1,7,3,052,30 rue Jules Guesde,M,5051974,0289123,590
201800000005,18,6,26,1605,1,2,1,1,3,477,72 rue Victor Hugo,M,5051607,0290605,590
201800000006,18,9,23,630,2,2,1,2,6,052,D39,M,5052132,0288837,590
201800000007,18,9,26,40,5,2,1,1,6,133,4 route de camphin,M,5052211,0296652,590
201800000008,18,11,30,1715,5,2,1,1,6,011,rue saint exupéry,M,5053146,0293875,590
201800000009,18,2,18,1557,1,1,1,1,6,550,rue de l'égalité,M,5053707,0284896,590
201800000010,18,3,19,1530,1,2,2,1,1,051,face au 59 rue de Lille,M,5053639,0281517,590
201800000011,18,5,28,1830,1,2,6,1,3,051,76 route de Lille,M,5054194,0281987,590
201800000012,18,5,31,430,5,1,6,5,6,250,RN41-D 145,M,5058465,0290868,590
201800000013,18,6,15,845,1,1,1,1,3,257,rue delval,M,5061613,0283783,590
201800000014,18,7,19,1022,1,2,1,1,6,051,26 rue d'estaires,M,5053196,0280251,590
201800000015,18,10,31,1945,3,1,1,1,6,303,rue chobourdin,M,5057886,0285234,590
201800000016,18,1,15,725,2,2,2,1,6,398,Rue Nationale,M,5051098,0312175,590
201800000017,18,2,9,1515,1,2,1,4,6,129,rue de l'égalité,M,5051293,0316665,590
201800000018,18,4,7,1145,1,2,3,1,2,071,CD 917,M,5048030,0313456,590
201800000019,18,4,17,1610,1,1,3,7,2,197,Intersection CD 145 - Ru,M,5054792,0314516,590
201800000020,18,5,27,1600,1,1,1,1,7,586,rue de wachemy,M,5054129,0318902,590
201800000021,18,6,12,1745,1,2,1,1,6,034,rue de Seclin,M,5053925,0307765,590
201800000022,18,7,12,1700,1,2,1,1,6,398,1405 route nationale,M,5050590,0312429,590
201800000023,18,10,12,1845,2,1,1,1,3,197,PONT THIBAUT,M,5053476,0310671,590
201800000024,18,12,5,1133,1,2,1,2,6,586,Rue Grande Campagne,M,5052832,0317434,590
201800000025,18,2,9,1115,1,2,1,4,7,452,rue florent Evrard,M,5045918,0303419,590
201800000026,18,4,14,1305,1,1,1,1,3,411,CD 954,M,5047812,0310784,590
201800000027,18,3,28,1700,1,1,2,2,5,087,RD943B,M,5066745,0245763,590
201800000028,18,6,17,1215,1,2,1,1,6,084,route d'hazebrouck,M,5069514,0242763,590
201800000029,18,9,16,1430,1,1,1,1,7,184,RD642,M,5073020,0241800,590
201800000030,18,1,13,1950,5,2,1,1,7,535,rue de bailleul,M,5076039,0272401,590
201800000031,18,2,3,530,3,1,1,8,7,401,Route Départementale 642,M,5073276,0268824,590
201800000032,18,5,1,1515,1,2,1,1,6,401,6 rue nationale,M,5073981,0269707,590
201800000033,18,7,6,1509,1,1,3,1,5,401,RD 642,M,5073351,0269505,590
201800000034,18,2,3,745,2,1,1,1,1,268,Rue du Grand Chemin,M,5063499,0273765,590
201800000035,18,3,16,2115,3,1,1,2,6,581,7 rue du pont de pierre,M,5071101,0276577,590
201800000036,18,5,19,1115,1,2,1,1,3,268,rue des clinques,M,5063462,0277135,590
201800000037,18,7,1,945,1,1,1,1,1,581,rue de la Lys,M,5066770,0277069,590
201800000038,18,9,4,935,1,1,3,1,3,268,CD-947,M,5063753,0273673,590
201800000039,18,10,10,700,3,1,1,5,2,268,RD 945,M,5062599,0273764,590
201800000040,18,10,16,1130,1,2,3,1,4,581,Rue de la Lys,M,5067304,0278779,590
201800000041,18,11,21,1215,1,2,1,1,1,268,RUE DE VERDUN,M,5063480,0271447,590
201800000042,18,1,19,1400,1,2,1,1,7,400,ROUTE DE CAUDESCURE,M,5065537,0262940,590
201800000043,18,7,9,730,1,1,1,7,1,293,rue du 8 mai 1945,M,5062626,0255111,590
201800000044,18,9,29,1800,1,1,1,7,3,400,rue de maroeuil,M,5062556,0262903,590
201800000045,18,10,28,1845,5,1,1,1,6,400,rue d'aire,M,5063912,0259899,590
201800000046,18,10,28,20,5,1,3,8,7,400,RUE D AIRE,M,5063898,0259912,590
